Accuracy,Precision,Recall,F1 Score,AUC,objective,metric,boosting_type,learning_rate,num_leaves,max_depth,min_data_in_leaf,is_unbalance,max_bin,verbose,random_state,num_boost_round,inner_threshold,threshold
0.7011197243755384,0.11403097137494134,0.30994897959183676,0.16672384219554032,0.526416679636583,binary,binary_logloss,gbdt,0.001,31,-1,5,True,255,-1,1,5000,0.5,1
0.7045650301464255,0.11297271421732887,0.3010204081632653,0.1642882004872955,0.5243356160385985,binary,binary_logloss,gbdt,0.001,31,-1,5,True,1024,-1,1,5000,0.5,1
0.7019810508182601,0.11549295774647887,0.3137755102040816,0.16884008236101578,0.5286023131845683,binary,binary_logloss,gbdt,0.001,31,-1,10,True,255,-1,1,5000,0.5,1
0.7072720561092654,0.1164021164021164,0.3086734693877551,0.16905344044708348,0.5292516196182954,binary,binary_logloss,gbdt,0.001,31,-1,10,True,1024,-1,1,5000,0.5,1
0.7927894672080719,0.12932454695222406,0.2002551020408163,0.15715715715715717,0.5281542431081108,binary,binary_logloss,gbdt,0.001,63,-1,5,True,255,-1,1,5000,0.5,1
0.7972191460563554,0.133276740237691,0.2002551020408163,0.16004077471967382,0.5306055572848777,binary,binary_logloss,gbdt,0.001,63,-1,5,True,1024,-1,1,5000,0.5,1
0.7950043066322137,0.13553719008264462,0.20918367346938777,0.16449348044132397,0.5333675414875197,binary,binary_logloss,gbdt,0.001,63,-1,10,True,255,-1,1,5000,0.5,1
0.7905746277839301,0.12743506493506493,0.2002551020408163,0.15575396825396823,0.5269285860197273,binary,binary_logloss,gbdt,0.001,63,-1,10,True,1024,-1,1,5000,0.5,1
0.8573889504122062,0.16337522441651706,0.11607142857142858,0.13571961222967935,0.526304814108675,binary,binary_logloss,gbdt,0.001,127,-1,5,True,255,-1,1,5000,0.5,1
0.8571428571428571,0.16399286987522282,0.11734693877551021,0.13680297397769517,0.5267382930293184,binary,binary_logloss,gbdt,0.001,127,-1,5,True,1024,-1,1,5000,0.5,1
0.8591116032976498,0.16758747697974216,0.11607142857142858,0.13715146948003015,0.5272581029551954,binary,binary_logloss,gbdt,0.001,127,-1,10,True,255,-1,1,5000,0.5,1
0.8577580903162298,0.15934065934065933,0.11096938775510204,0.13082706766917293,0.5242304381237719,binary,binary_logloss,gbdt,0.001,127,-1,10,True,1024,-1,1,5000,0.5,1
0.7011197243755384,0.11547452080411408,0.31505102040816324,0.16900444748546015,0.5286953318028831,binary,binary_logloss,gbdt,0.01,31,-1,5,True,255,-1,1,500,0.5,1
0.7037037037037037,0.1118546845124283,0.29846938775510207,0.1627260083449235,0.5227196455321882,binary,binary_logloss,gbdt,0.01,31,-1,5,True,1024,-1,1,500,0.5,1
0.7021040974529347,0.11373289287399717,0.30739795918367346,0.16603513606613848,0.5258220900371589,binary,binary_logloss,gbdt,0.01,31,-1,10,True,255,-1,1,500,0.5,1
0.7057954964931709,0.11462829736211032,0.3048469387755102,0.1666085744161729,0.5267255257679812,binary,binary_logloss,gbdt,0.01,31,-1,10,True,1024,-1,1,500,0.5,1
0.7909437676879537,0.13487629688747008,0.21556122448979592,0.16593028964162984,0.5339688187000253,binary,binary_logloss,gbdt,0.01,63,-1,5,True,255,-1,1,500,0.5,1
0.7948812599975391,0.1305439330543933,0.1989795918367347,0.15765538150581102,0.5287421450944535,binary,binary_logloss,gbdt,0.01,63,-1,5,True,1024,-1,1,500,0.5,1
0.7905746277839301,0.12682926829268293,0.1989795918367347,0.15491559086395232,0.5263589229781522,binary,binary_logloss,gbdt,0.01,63,-1,10,True,255,-1,1,500,0.5,1
0.7895902547065338,0.12781350482315113,0.20280612244897958,0.15680473372781067,0.5275231756191514,binary,binary_logloss,gbdt,0.01,63,-1,10,True,1024,-1,1,500,0.5,1
0.8573889504122062,0.168141592920354,0.1211734693877551,0.14084507042253522,0.5285834662749752,binary,binary_logloss,gbdt,0.01,127,-1,5,True,255,-1,1,500,0.5,1
0.8570198105081827,0.16489361702127658,0.11862244897959184,0.13798219584569732,0.5272398640104279,binary,binary_logloss,gbdt,0.01,127,-1,5,True,1024,-1,1,500,0.5,1
0.8592346499323243,0.16911764705882354,0.11734693877551021,0.13855421686746988,0.5278958580572362,binary,binary_logloss,gbdt,0.01,127,-1,10,True,255,-1,1,500,0.5,1
0.8603420696443952,0.17915904936014626,0.125,0.14725770097670923,0.5319266648508784,binary,binary_logloss,gbdt,0.01,127,-1,10,True,1024,-1,1,500,0.5,1
