Accuracy,Precision,Recall,F1 Score,AUC,objective,metric,boosting_type,learning_rate,num_leaves,max_depth,min_data_in_leaf,is_unbalance,max_bin,verbose,random_state,num_boost_round,inner_threshold,threshold
0.6897994339854805,0.11857707509881422,0.34438775510204084,0.17641293694870958,0.5355331121962608,binary,binary_logloss,gbdt,0.001,31,-1,5,True,31,-1,1,5000,0.5,1
0.6969361387966039,0.11649154865235267,0.3252551020408163,0.17154389505549947,0.5309375060796483,binary,binary_logloss,gbdt,0.001,31,-1,5,True,63,-1,1,5000,0.5,1
0.7033345637996801,0.11317165953399905,0.30357142857142855,0.1648770349844129,0.5247940215170911,binary,binary_logloss,gbdt,0.001,31,-1,5,True,127,-1,1,5000,0.5,1
0.7011197243755384,0.11403097137494134,0.30994897959183676,0.16672384219554032,0.526416679636583,binary,binary_logloss,gbdt,0.001,31,-1,5,True,255,-1,1,5000,0.5,1
0.7107173618801526,0.11873479318734793,0.3112244897959184,0.17189151109545617,0.5322975233944865,binary,binary_logloss,gbdt,0.001,31,-1,5,True,511,-1,1,5000,0.5,1
0.7045650301464255,0.11297271421732887,0.3010204081632653,0.1642882004872955,0.5243356160385985,binary,binary_logloss,gbdt,0.001,31,-1,5,True,1024,-1,1,5000,0.5,1
0.6895533407161314,0.1164534627260697,0.336734693877551,0.17305801376597835,0.5319789498258789,binary,binary_logloss,gbdt,0.001,31,-1,10,True,31,-1,1,5000,0.5,1
0.694229112833764,0.11740890688259109,0.33290816326530615,0.17359494512803458,0.5328574589988522,binary,binary_logloss,gbdt,0.001,31,-1,10,True,63,-1,1,5000,0.5,1
0.7025962839916329,0.11174512601046124,0.2997448979591837,0.16279875303082783,0.5226764800295715,binary,binary_logloss,gbdt,0.001,31,-1,10,True,127,-1,1,5000,0.5,1
0.7019810508182601,0.11549295774647887,0.3137755102040816,0.16884008236101578,0.5286023131845683,binary,binary_logloss,gbdt,0.001,31,-1,10,True,255,-1,1,5000,0.5,1
0.707641196013289,0.1184084372003835,0.31505102040816324,0.17212543554006968,0.5323042110075679,binary,binary_logloss,gbdt,0.001,31,-1,10,True,511,-1,1,5000,0.5,1
0.7072720561092654,0.1164021164021164,0.3086734693877551,0.16905344044708348,0.5292516196182954,binary,binary_logloss,gbdt,0.001,31,-1,10,True,1024,-1,1,5000,0.5,1
0.772609819121447,0.12745098039215685,0.23214285714285715,0.16455696202531644,0.5312287212311044,binary,binary_logloss,gbdt,0.001,64,-1,5,True,31,-1,1,5000,0.5,1
0.7836840162421558,0.13161875945537066,0.22193877551020408,0.16524216524216523,0.5327997023404214,binary,binary_logloss,gbdt,0.001,64,-1,5,True,63,-1,1,5000,0.5,1
0.7913129075919774,0.13402889245585875,0.21301020408163265,0.16453201970443349,0.5330337687982724,binary,binary_logloss,gbdt,0.001,64,-1,5,True,127,-1,1,5000,0.5,1
0.7947582133628646,0.13349917081260365,0.20535714285714285,0.16180904522613065,0.5315223682418629,binary,binary_logloss,gbdt,0.001,64,-1,5,True,255,-1,1,5000,0.5,1
0.7937738402854682,0.12956810631229235,0.1989795918367347,0.15694164989939635,0.5281293165502616,binary,binary_logloss,gbdt,0.001,64,-1,5,True,511,-1,1,5000,0.5,1
0.7938968869201427,0.12781954887218044,0.1951530612244898,0.15446744068652196,0.5264884194860022,binary,binary_logloss,gbdt,0.001,64,-1,5,True,1024,-1,1,5000,0.5,1
