Iteration,Feature Count,Feature Set,Metric,Best Metric,Acceptance Probability,Random Number,Outcome,Acc,Pre,Rec,F1,AUC
2,2,"[54, 58]",0.5414767547857794,0.5414767547857794,-,-,Improved,0.5498954103605267,0.09905133928571429,0.4528061224489796,0.16254578754578758,0.5065337979805841
3,3,"[14, 54, 58]",0.6007292616226071,0.6007292616226071,-,-,Improved,0.599729297403716,0.10113085621970921,0.399234693877551,0.1613817994328435,0.5101852347230599
4,4,"[14, 41, 54, 58]",0.6119720449711334,0.6119720449711334,-,-,Improved,0.6197858988556663,0.10268780151619572,0.38010204081632654,0.1616928920238741,0.5127392949553511
5,4,"[14, 41, 54, 58]",0.5878152537222728,0.6119720449711334,0.08294119382802188,0.6800942068103961,Reject,0.5960378983634798,0.10345921929546176,0.41581632653061223,0.16569250317662004,0.5155480924495632
6,4,"[0, 14, 41, 54]",0.6251899118808872,0.6251899118808872,-,-,Improved,0.6329518887658423,0.10263823635706541,0.3622448979591837,0.15995494226978313,0.5120498628431354
7,4,"[0, 26, 41, 54]",0.6485870556061987,0.6485870556061987,-,-,Improved,0.6570690291620525,0.113469702817445,0.375,0.17422222222222222,0.5310925371101729
8,4,"[0, 26, 41, 54]",0.6074141598298389,0.6485870556061987,0.012610706266861034,0.4534921895453181,Reject,0.6061277224067921,0.10826580226904375,0.4260204081632653,0.17265443266994054,0.5256889457403552
9,4,"[0, 26, 41, 54]",0.5853843816469159,0.6485870556061987,0.0011352216788910938,0.4070148198452904,Reject,0.5875476805709364,0.0972396486825596,0.39540816326530615,0.15609264853977844,0.5017351316122255
10,5,"[0, 26, 41, 54, 65]",0.6476754785779398,0.6485870556061987,0.9059331750284355,0.6038378574728581,Accept,0.6530084902177925,0.11526832955404384,0.38903061224489793,0.17784256559766765,0.5351117925721289
11,6,"[0, 12, 26, 41, 54, 65]",0.6671224551807962,0.6671224551807962,-,-,Improved,0.6532545834871416,0.10824345146379044,0.35841836734693877,0.16627218934911242,0.5215760636952589
12,6,"[0, 12, 26, 41, 54, 65]",0.6444849589790337,0.6671224551807962,0.0818317572211037,0.11038933545843266,Reject,0.6413190599237111,0.11042047531992688,0.3852040816326531,0.17163967036089797,0.5269340577031575
13,7,"[0, 12, 26, 41, 49, 54, 65]",0.6736554238833181,0.6736554238833181,-,-,Improved,0.6671588532053648,0.11097610368570271,0.3494897959183674,0.16845988318475255,0.5252828252368631
14,8,"[0, 12, 26, 41, 49, 52, 54, 65]",0.6856578547553935,0.6856578547553935,-,-,Improved,0.6782330503260736,0.11678526580159063,0.35586734693877553,0.17585880869839268,0.5342594258866559
15,9,"[0, 12, 21, 26, 41, 49, 52, 54, 65]",0.6765420844728046,0.6856578547553935,0.3538757795638214,0.2815683005078645,Accept,0.6835240556170789,0.11597938144329897,0.34438775510204084,0.17352185089974295,0.5320604171125075
