Iteration,Feature Count,Feature Set,Metric,Best Metric,Acceptance Probability,Random Number,Outcome
1,24,"[0, 2, 3, 5, 6, 8, 9, 10, 16, 18, 19, 26, 28, 29, 33, 35, 36, 37, 38, 39, 40, 42, 43, 45]",0.7815607350250576,0.7815607350250576,-,-,Improved
2,23,"[0, 2, 3, 6, 8, 9, 10, 16, 18, 19, 26, 28, 29, 33, 35, 36, 37, 38, 39, 40, 42, 43, 45]",0.7820380240235463,0.7820380240235463,-,-,Improved
3,24,"[0, 2, 3, 6, 8, 9, 10, 16, 18, 19, 22, 26, 28, 29, 33, 35, 36, 37, 38, 39, 40, 42, 43, 45]",0.7801288680295919,0.7820380240235463,0.998053976370238,0.8660277196012901,Accept
4,24,"[0, 2, 3, 6, 8, 9, 10, 16, 18, 19, 22, 26, 28, 29, 30, 33, 35, 37, 38, 39, 40, 42, 43, 45]",0.7789356455333705,0.7820380240235463,0.9987710086108987,0.6863277532971391,Accept
5,24,"[0, 2, 3, 6, 8, 10, 16, 18, 19, 22, 26, 28, 29, 30, 32, 33, 35, 37, 38, 39, 40, 42, 43, 45]",0.7781401638692228,0.7820380240235463,0.9991722301856616,0.004668175703119393,Accept
6,23,"[0, 2, 3, 6, 8, 10, 16, 18, 19, 22, 26, 28, 29, 30, 32, 35, 37, 38, 39, 40, 42, 43, 45]",0.7774242303714899,0.7820380240235463,0.9992474536642706,0.9979382833182683,Accept
7,22,"[0, 2, 3, 6, 8, 10, 16, 19, 22, 26, 28, 29, 30, 32, 35, 37, 38, 39, 40, 42, 43, 45]",0.7724922440537746,0.7820380240235463,0.9947751520493963,0.16177110608149425,Accept
8,21,"[0, 2, 3, 6, 8, 16, 19, 22, 26, 28, 29, 30, 32, 35, 37, 38, 39, 40, 42, 43, 45]",0.775355978044706,0.7820380240235463,-,-,Improved
9,21,"[0, 2, 3, 8, 12, 16, 19, 22, 26, 28, 29, 30, 32, 35, 37, 38, 39, 40, 42, 43, 45]",0.7782992602020523,0.7820380240235463,-,-,Improved
10,21,"[0, 2, 3, 4, 8, 12, 16, 19, 22, 26, 28, 29, 32, 35, 37, 38, 39, 40, 42, 43, 45]",0.7685148357330364,0.7820380240235463,0.9893464387521727,0.7511607494669728,Accept
11,22,"[0, 2, 3, 4, 7, 8, 12, 16, 19, 22, 26, 28, 29, 32, 35, 37, 38, 39, 40, 42, 43, 45]",0.7701057990613316,0.7820380240235463,-,-,Improved
12,21,"[0, 2, 3, 4, 7, 8, 12, 16, 19, 22, 26, 28, 29, 32, 35, 37, 38, 39, 40, 43, 45]",0.7730490812186779,0.7820380240235463,-,-,Improved
13,20,"[0, 2, 3, 4, 7, 8, 12, 19, 22, 26, 28, 29, 32, 35, 37, 38, 39, 40, 43, 45]",0.7717763105560417,0.7820380240235463,0.9985651184410823,0.9231285677410398,Accept
14,21,"[0, 2, 3, 4, 7, 8, 12, 19, 22, 24, 26, 28, 29, 32, 35, 37, 38, 39, 40, 43, 45]",0.7698671545620873,0.7820380240235463,0.9978267407318412,0.41773061412529255,Accept
15,21,"[1, 2, 3, 4, 7, 8, 12, 19, 22, 24, 26, 28, 29, 32, 35, 37, 38, 39, 40, 43, 45]",0.777742423037149,0.7820380240235463,-,-,Improved
16,21,"[1, 2, 4, 7, 8, 12, 19, 22, 24, 26, 27, 28, 29, 32, 35, 37, 38, 39, 40, 43, 45]",0.7792538381990295,0.7820380240235463,-,-,Improved
17,20,"[1, 2, 4, 7, 8, 12, 19, 22, 24, 26, 27, 28, 32, 35, 37, 38, 39, 40, 43, 45]",0.7784583565348818,0.7820380240235463,0.9990661777787707,0.6861619502038694,Accept
18,21,"[0, 1, 2, 4, 7, 8, 12, 19, 22, 24, 26, 27, 28, 32, 35, 37, 38, 39, 40, 43, 45]",0.7800493198631772,0.7820380240235463,-,-,Improved
19,20,"[0, 1, 2, 4, 7, 8, 12, 19, 22, 24, 26, 27, 28, 35, 37, 38, 39, 40, 43, 45]",0.7838676318510859,0.7838676318510859,-,-,Improved
20,21,"[0, 1, 2, 4, 7, 8, 12, 19, 22, 24, 26, 27, 28, 35, 37, 38, 39, 40, 41, 43, 45]",0.7788560973669557,0.7838676318510859,0.993952366312443,0.48405612123089303,Accept
21,21,"[0, 1, 2, 4, 7, 8, 12, 16, 19, 22, 26, 27, 28, 35, 37, 38, 39, 40, 41, 43, 45]",0.7813220905258134,0.7838676318510859,-,-,Improved
22,20,"[0, 2, 4, 7, 8, 12, 16, 19, 22, 26, 27, 28, 35, 37, 38, 39, 40, 41, 43, 45]",0.7790151936997852,0.7838676318510859,0.9971550765561313,0.5694896019383697,Accept
23,19,"[0, 2, 4, 7, 8, 12, 16, 19, 22, 26, 28, 35, 37, 38, 39, 40, 41, 43, 45]",0.7760719115424389,0.7838676318510859,0.9963351130843381,0.5096018617084311,Accept
24,20,"[0, 2, 4, 6, 7, 8, 12, 16, 19, 22, 26, 28, 35, 37, 38, 39, 40, 41, 43, 45]",0.7754355262111209,0.7838676318510859,0.9991984390156332,0.9737457460489748,Accept
25,21,"[0, 2, 4, 6, 7, 8, 12, 16, 19, 22, 26, 28, 30, 35, 37, 38, 39, 40, 41, 43, 45]",0.7791742900326147,0.7838676318510859,-,-,Improved
26,20,"[0, 2, 4, 6, 7, 8, 12, 16, 19, 22, 26, 28, 30, 35, 37, 38, 39, 41, 43, 45]",0.7782992602020523,0.7838676318510859,0.9988756572302488,0.21249114694848104,Accept
27,19,"[0, 2, 4, 7, 8, 12, 16, 19, 22, 26, 28, 30, 35, 37, 38, 39, 41, 43, 45]",0.7769469413730014,0.7838676318510859,0.9982453813306083,0.39900665616869735,Accept
28,19,"[0, 2, 4, 7, 8, 16, 19, 22, 26, 28, 30, 34, 35, 37, 38, 39, 41, 43, 45]",0.778060615702808,0.7838676318510859,-,-,Improved
29,20,"[0, 2, 4, 7, 8, 16, 17, 19, 22, 26, 28, 30, 34, 35, 37, 38, 39, 41, 43, 45]",0.7819584758571315,0.7838676318510859,-,-,Improved
30,21,"[0, 2, 4, 7, 8, 16, 17, 19, 22, 26, 28, 30, 31, 34, 35, 37, 38, 39, 41, 43, 45]",0.781799379524302,0.7838676318510859,0.9997870913582785,0.8356983047248836,Accept
31,20,"[0, 2, 4, 7, 8, 16, 17, 19, 22, 26, 28, 31, 34, 35, 37, 38, 39, 41, 43, 45]",0.7808448015273248,0.7838676318510859,0.9987103395399596,0.41929835794901016,Accept
32,21,"[0, 2, 4, 7, 8, 16, 17, 19, 22, 26, 28, 31, 34, 35, 37, 38, 39, 40, 41, 43, 45]",0.7784583565348818,0.7838676318510859,0.9967464840199214,0.19429073968328447,Accept
33,22,"[0, 2, 4, 7, 8, 16, 17, 19, 22, 23, 26, 28, 31, 34, 35, 37, 38, 39, 40, 41, 43, 45]",0.7739241110492403,0.7838676318510859,0.9937652160935161,0.11978497821043443,Accept
34,21,"[0, 2, 7, 8, 16, 17, 19, 22, 23, 26, 28, 31, 34, 35, 37, 38, 39, 40, 41, 43, 45]",0.777742423037149,0.7838676318510859,-,-,Improved
35,22,"[0, 2, 7, 8, 9, 16, 17, 19, 22, 23, 26, 28, 31, 34, 35, 37, 38, 39, 40, 41, 43, 45]",0.7732081775515074,0.7838676318510859,0.9936390281955091,0.7848410635881414,Accept
36,23,"[0, 2, 7, 8, 9, 16, 17, 19, 22, 23, 26, 28, 31, 34, 35, 36, 37, 38, 39, 40, 41, 43, 45]",0.777742423037149,0.7838676318510859,-,-,Improved
