Iteration,Feature Count,Feature Set,Metric,Best Metric,Acceptance Probability,Random Number,Outcome
2,1,[68],0.16762060506950122,0.17632241813602015,0.41887559743043234,0.7420242381668114,Reject
3,2,"[29, 68]",0.19281045751633985,0.19281045751633985,-,-,Improved
4,3,"[29, 50, 68]",0.1925925925925926,0.19281045751633985,0.9780163938906329,0.9761241431382873,Accept
5,4,"[29, 50, 60, 68]",0.18706842435655993,0.19281045751633985,0.5659065125400935,0.07528186123985914,Accept
6,5,"[29, 50, 60, 68, 91]",0.18803418803418806,0.19281045751633985,-,-,Improved
7,6,"[29, 50, 56, 60, 68, 91]",0.18834688346883466,0.19281045751633985,-,-,Improved
8,6,"[50, 56, 60, 68, 83, 91]",0.16202844774273345,0.19281045751633985,0.061088489075360845,0.022739953606888297,Accept
9,5,"[50, 56, 60, 68, 91]",0.1459762944479102,0.19281045751633985,0.17867026083272447,0.17118656249499586,Accept
10,4,"[50, 56, 60, 91]",0.16747572815533981,0.19281045751633985,-,-,Improved
11,5,"[25, 50, 56, 60, 91]",0.1960281870595772,0.1960281870595772,-,-,Improved
12,6,"[23, 25, 50, 56, 60, 91]",0.19922879177377892,0.19922879177377892,-,-,Improved
13,7,"[23, 25, 50, 56, 60, 89, 91]",0.2068543451652387,0.2068543451652387,-,-,Improved
14,7,"[23, 25, 50, 56, 60, 89, 91]",0.20483460559796438,0.2068543451652387,0.7962336590841486,0.9793800917904977,Reject
15,7,"[23, 25, 50, 56, 60, 89, 91]",0.18478944060339408,0.2068543451652387,0.08090668726943778,0.8439185511409742,Reject
16,7,"[23, 25, 50, 56, 60, 67, 91]",0.2086284610431423,0.2086284610431423,-,-,Improved
17,7,"[23, 25, 50, 56, 60, 67, 91]",0.1945137157107232,0.2086284610431423,0.1937593993619845,0.23263781206891965,Reject
18,7,"[23, 25, 50, 56, 60, 67, 91]",0.19615384615384615,0.2086284610431423,0.23105740622519,0.6394314514237062,Reject
19,7,"[23, 25, 50, 56, 60, 67, 91]",0.1976893453145058,0.2086284610431423,0.27315149853507925,0.4277153567059022,Reject
20,7,"[23, 25, 50, 56, 60, 67, 91]",0.19041365725541698,0.2086284610431423,0.11273846050084566,0.28266292105573243,Reject
21,7,"[23, 25, 50, 56, 60, 67, 91]",0.18697614442295296,0.2086284610431423,0.0727438573051133,0.40120182312878105,Reject
22,7,"[23, 50, 56, 60, 62, 67, 91]",0.20486555697823303,0.2086284610431423,0.631242573853562,0.536548560790085,Accept
23,7,"[23, 50, 56, 60, 67, 84, 91]",0.20397350993377483,0.2086284610431423,0.8956851912656496,0.6454822322433671,Accept
