Iteration,Feature Count,Feature Set,Metric,Best Metric,Acceptance Probability,Random Number,Outcome,Acc,Pre,Rec,F1,AUC
2,2,"[33, 63]",0.5065329687025221,0.5065329687025221,-,-,Improved,0.5030146425495263,0.09705372616984402,0.5,0.16255442670537013,0.5016682554814108
3,3,"[33, 63, 73]",0.6274688544515344,0.6274688544515344,-,-,Improved,0.624707764242648,0.10659722222222222,0.39158163265306123,0.1675764192139738,0.5205899447481567
4,3,"[33, 46, 73]",0.6625645700395016,0.6625645700395016,-,-,Improved,0.6639596407038267,0.11168727562824092,0.35714285714285715,0.1701610452749924,0.526930409914204
5,4,"[33, 46, 73, 82]",0.6858097842601033,0.6858097842601033,-,-,Improved,0.6825396825396826,0.10990443092962641,0.3227040816326531,0.16396629941672067,0.5218314089220054
6,4,"[33, 46, 73, 82]",0.654056517775752,0.6858097842601033,0.036677944313184954,0.74367878993602,Reject,0.655838562815307,0.11947069943289225,0.4030612244897959,0.184310294546515,0.5429442034201669
7,4,"[33, 46, 73, 82]",0.6529930112427833,0.6858097842601033,0.031720222088844036,0.5015114237213718,Reject,0.6563307493540051,0.11261087543386039,0.37244897959183676,0.17293455729937815,0.5295446586642284
8,4,"[33, 46, 73, 82]",0.6774536615010635,0.6858097842601033,0.41166240665559256,0.7834175851860041,Reject,0.684016242155777,0.1188034188034188,0.35459183673469385,0.17797695262483992,0.536890089686971
9,5,"[13, 33, 46, 73, 82]",0.6890003038590095,0.6890003038590095,-,-,Improved,0.6939830195644149,0.12239467849223946,0.3520408163265306,0.18163869693978282,0.5412662205015466
10,5,"[13, 33, 46, 73, 82]",0.6645396536007293,0.6890003038590095,0.07059063021328467,0.9350940410869562,Reject,0.6691275993601575,0.12006382130035899,0.38392857142857145,0.1829231236706168,0.5417532003268419
11,6,"[13, 33, 46, 73, 80, 82]",0.6976602856274688,0.6976602856274688,-,-,Improved,0.7022271440876092,0.11704119850187265,0.31887755102040816,0.17123287671232876,0.5310171494718001
12,6,"[13, 33, 46, 73, 80, 82]",0.6847462777271346,0.6976602856274688,0.23980308292805858,0.6843352122190327,Reject,0.6947212993724622,0.11658382286488929,0.32908163265306123,0.17217217217217218,0.53142083811599
13,7,"[13, 33, 46, 47, 73, 80, 82]",0.7075357034336068,0.7075357034336068,-,-,Improved,0.7157622739018088,0.1256133464180569,0.32653061224489793,0.18143160878809353,0.541925254372483
14,7,"[13, 33, 46, 47, 73, 80, 82]",0.6689456092373138,0.7075357034336068,0.012859789704390993,0.6375052630574184,Reject,0.6843853820598007,0.10263275323516287,0.29336734693877553,0.15206611570247935,0.5097505398727651
15,7,"[13, 33, 46, 47, 73, 80, 82]",0.699179580674567,0.7075357034336068,0.3858749644715712,0.996130134906972,Reject,0.7092408022640581,0.11915098890496864,0.31505102040816324,0.1729086454322716,0.5331894077936226
16,8,"[13, 33, 46, 47, 54, 73, 80, 82]",0.7143725311455484,0.7143725311455484,-,-,Improved,0.7227759320782576,0.12275295326142784,0.3048469387755102,0.17502746246796047,0.5361222301122546
17,8,"[13, 33, 46, 47, 54, 73, 80, 82]",0.6830750531753267,0.7143725311455484,0.02627874863189867,0.23258158542929086,Reject,0.6945982527377876,0.10548327137546469,0.2895408163265306,0.15463215258855587,0.5136931917666971
18,8,"[13, 33, 46, 47, 54, 73, 80, 82]",0.6931024004861744,0.7143725311455484,0.08224242122457957,0.44385902999378024,Reject,0.6917681801402732,0.11533303531515422,0.32908163265306123,0.1708043694141013,0.529786628664812
19,8,"[13, 33, 46, 47, 54, 73, 80, 82]",0.7066241264053479,0.7143725311455484,0.3988346289500335,0.8900094001705339,Reject,0.7123169681309216,0.11836935166994106,0.30739795918367346,0.17092198581560283,0.5314737310558161
20,8,"[13, 33, 46, 47, 54, 73, 80, 82]",0.6870252202977818,0.7143725311455484,0.03773997746508299,0.9910804238723073,Reject,0.6986587916820475,0.11653615845232612,0.3227040816326531,0.1712351945854484,0.5307514688430186
21,8,"[13, 33, 46, 47, 54, 73, 80, 82]",0.6947736250379823,0.7143725311455484,0.0932692658711707,0.446147044908494,Reject,0.7145318075550634,0.12463343108504399,0.3252551020408163,0.18021201413427562,0.5406746707262505
22,9,"[13, 33, 46, 47, 54, 67, 73, 80, 82]",0.7164995442114859,0.7164995442114859,-,-,Improved,0.7279438907345884,0.13126614987080104,0.3239795918367347,0.18683339463037882,0.5475270422754421
23,9,"[13, 33, 46, 47, 54, 67, 73, 80, 82]",0.705712549377089,0.7164995442114859,0.263902563443678,0.35131342229372564,Reject,0.7136704811123415,0.1245742092457421,0.32653061224489793,0.18034519196900317,0.5407676893445652
24,9,"[13, 33, 46, 47, 54, 67, 73, 80, 82]",0.7079914919477363,0.7164995442114859,0.34599074115873035,0.4630520013932834,Reject,0.7065337763012182,0.12007593735168486,0.3227040816326531,0.17502594258042198,0.5351093607128266
25,10,"[13, 17, 33, 46, 47, 54, 67, 73, 80, 82]",0.7210574293527803,0.7210574293527803,-,-,Improved,0.7348345022763627,0.13749338974087785,0.33163265306122447,0.19439252336448598,0.5547581759109744
26,11,"[13, 17, 33, 46, 47, 54, 67, 73, 80, 82, 85]",0.7300212701306594,0.7300212701306594,-,-,Improved,0.7417251138181371,0.12620807276861853,0.28316326530612246,0.1745969327565867,0.536924135717204
27,11,"[13, 17, 33, 46, 47, 54, 67, 73, 80, 82, 85]",0.7148283196596779,0.7300212701306594,0.1418096097130966,0.1996530616593496,Reject,0.7324966162175465,0.11896929824561403,0.2767857142857143,0.16641104294478526,0.5289689159743974
28,11,"[13, 17, 33, 46, 47, 54, 67, 73, 80, 82, 85]",0.7248556669705257,0.7300212701306594,0.5112891667064304,0.74499137033809,Reject,0.7363110618924572,0.12102621305075292,0.2767857142857143,0.16841288319751652,0.5310797698488358
29,10,"[17, 33, 46, 47, 54, 67, 73, 80, 82, 85]",0.7288058340929808,0.7300212701306594,0.8526259531700734,0.5153559359812183,Accept,0.7323735695828719,0.12506738544474394,0.29591836734693877,0.1758241758241758,0.5374457695375576
30,10,"[17, 33, 46, 47, 54, 67, 73, 80, 82, 85]",0.7172591917350349,0.7300212701306594,0.21655181332137094,0.798525826512845,Reject,0.723760305155654,0.12480739599383667,0.30994897959183676,0.1779567923837422,0.538945618762281
31,10,"[17, 33, 46, 47, 54, 67, 73, 80, 82, 85]",0.7204497113339411,0.7300212701306594,0.32681319252553165,0.8085161991503189,Reject,0.722160698904885,0.12321063394683027,0.30739795918367346,0.17591240875912412,0.536921095893076
32,10,"[17, 33, 46, 47, 54, 67, 73, 80, 82, 85]",0.7172591917350349,0.7300212701306594,0.209928323921846,0.27436914328707795,Reject,0.7228989787129322,0.11449579831932773,0.2780612244897959,0.16220238095238096,0.5242273982996439
33,10,"[17, 33, 47, 54, 67, 73, 75, 80, 82, 85]",0.7265268915223336,0.7300212701306594,0.7325658987984962,0.28414160322146265,Accept,0.7294204503506829,0.1222637479978644,0.29209183673469385,0.17237485886337975,0.5341025709616545
34,10,"[17, 33, 47, 54, 67, 73, 75, 80, 82, 85]",0.7228805834092981,0.7300212701306594,0.6047424031325213,0.8303968864902193,Reject,0.7212993724621631,0.12315521628498728,0.3086734693877551,0.17606402328119317,0.5370141145113908
35,11,"[17, 31, 33, 47, 54, 67, 73, 75, 80, 82, 85]",0.7253114554846551,0.7300212701306594,0.8442181547487994,0.5585166202436866,Accept,0.731020056601452,0.12673056443024494,0.30357142857142855,0.17881292261457551,0.5401147351218848
36,11,"[17, 31, 33, 47, 54, 67, 73, 75, 80, 82, 85]",0.7166514737161956,0.7300212701306594,0.29559467992526006,0.7171962121964892,Reject,0.7230220253476067,0.12747587607922803,0.3201530612244898,0.1823465310570287,0.5430943707320869
37,10,"[17, 31, 33, 47, 54, 67, 73, 75, 82, 85]",0.7254633849893649,0.7300212701306594,-,-,Improved,0.7285591239079611,0.12261146496815287,0.29464285714285715,0.1731634182908546,0.5347652526215444
38,10,"[17, 31, 33, 47, 54, 67, 73, 75, 82, 85]",0.718018839258584,0.7300212701306594,0.34335719827107214,0.8921733717411592,Reject,0.7327427094868956,0.12405200433369447,0.29209183673469385,0.1741444866920152,0.5359410565942297
39,11,"[17, 31, 33, 47, 54, 56, 67, 73, 75, 82, 85]",0.7245518079611061,0.7300212701306594,0.8761498165061681,0.5498399924652044,Accept,0.7313891965054756,0.12613575628006413,0.3010204081632653,0.17777777777777778,0.5391796852201318
40,11,"[17, 31, 33, 47, 54, 56, 67, 73, 75, 82, 85]",0.7037374658158614,0.7300212701306594,0.04738372209335568,0.6269042046958371,Reject,0.7093638488987326,0.1192084942084942,0.31505102040816324,0.17296918767507002,0.5332574998540884
41,11,"[17, 31, 33, 47, 54, 56, 67, 73, 75, 82, 85]",0.7240960194469767,0.7300212701306594,0.9347731757250393,0.9716794809827148,Reject,0.7281899840039375,0.1255911718339464,0.3048469387755102,0.1778935615928545,0.5391182807727476
42,12,"[17, 31, 33, 47, 54, 56, 60, 67, 73, 75, 82, 85]",0.7292616226071102,0.7300212701306594,-,-,Improved,0.7317583364094992,0.12229437229437229,0.288265306122449,0.1717325227963526,0.5336873309857786
43,11,"[17, 31, 33, 54, 56, 60, 67, 73, 75, 82, 85]",0.7190823457915527,0.7300212701306594,0.215025150488888,0.08814971437798746,Accept,0.723760305155654,0.1240349974266598,0.30739795918367346,0.17675100843417677,0.5378062926791307
44,11,"[17, 31, 33, 54, 56, 60, 67, 73, 75, 82, 85]",0.7104223640230933,0.7300212701306594,0.26692026315297307,0.4555341145546081,Reject,0.7275747508305648,0.13333333333333333,0.33163265306122447,0.19019751280175567,0.5507407443434953
45,10,"[17, 33, 54, 56, 60, 67, 73, 75, 82, 85]",0.7161956852020662,0.7300212701306594,0.641006558189234,0.2995630595042351,Accept,0.7243755383290267,0.12201453790238836,0.2997448979591837,0.17343173431734316,0.5347287747320091
46,11,"[17, 33, 54, 56, 60, 67, 73, 75, 82, 85, 87]",0.715587967183227,0.7300212701306594,0.9097640168123016,0.04900812364800888,Accept,0.7216685123661868,0.12102564102564102,0.3010204081632653,0.17264081931236286,0.5338004124433376
