Iteration,Feature Count,Feature Set,Metric,Best Metric,Acceptance Probability,Random Number,Outcome
1,24,"[0, 1, 5, 6, 8, 10, 12, 13, 17, 18, 19, 20, 22, 24, 25, 27, 29, 35, 36, 37, 39, 41, 42, 45]",0.7841062763503301,0.7857767878450401,0.9983308830329841,0.06509560708948847,Accept
2,24,"[0, 1, 5, 6, 8, 10, 12, 13, 17, 18, 19, 20, 24, 25, 27, 29, 31, 35, 36, 37, 39, 41, 42, 45]",0.7838676318510859,0.7857767878450401,0.9997589740016924,0.7855246544415262,Accept
3,25,"[0, 1, 4, 5, 6, 8, 10, 12, 13, 17, 18, 19, 20, 24, 25, 27, 29, 31, 35, 36, 37, 39, 41, 42, 45]",0.7827539575212792,0.7857767878450401,0.998864358899217,0.2926357022164988,Accept
4,26,"[0, 1, 4, 5, 6, 7, 8, 10, 12, 13, 17, 18, 19, 20, 24, 25, 27, 29, 31, 35, 36, 37, 39, 41, 42, 45]",0.7828335056876939,0.7857767878450401,-,-,Improved
5,26,"[0, 1, 4, 5, 6, 7, 8, 12, 13, 17, 18, 19, 20, 24, 25, 27, 29, 31, 35, 36, 37, 39, 41, 42, 44, 45]",0.7838676318510859,0.7857767878450401,-,-,Improved
6,26,"[0, 1, 2, 4, 5, 6, 7, 8, 12, 13, 18, 19, 20, 24, 25, 27, 29, 31, 35, 36, 37, 39, 41, 42, 44, 45]",0.7810834460265691,0.7857767878450401,0.9970766106233998,0.701661622285455,Accept
7,27,"[0, 1, 2, 4, 5, 6, 7, 8, 12, 13, 18, 19, 20, 22, 24, 25, 27, 29, 31, 35, 36, 37, 39, 41, 42, 44, 45]",0.7759128152096094,0.7857767878450401,0.9945230303948094,0.09077332185081355,Accept
8,28,"[0, 1, 2, 4, 5, 6, 7, 8, 10, 12, 13, 18, 19, 20, 22, 24, 25, 27, 29, 31, 35, 36, 37, 39, 41, 42, 44, 45]",0.7779015193699785,0.7857767878450401,-,-,Improved
9,28,"[0, 1, 2, 4, 5, 6, 7, 8, 10, 12, 13, 18, 19, 20, 22, 24, 25, 27, 28, 29, 35, 36, 37, 39, 41, 42, 44, 45]",0.7802084161960067,0.7857767878450401,-,-,Improved
10,29,"[0, 1, 2, 4, 5, 6, 7, 8, 10, 12, 13, 15, 18, 19, 20, 22, 24, 25, 27, 28, 29, 35, 36, 37, 39, 41, 42, 44, 45]",0.7829130538541087,0.7857767878450401,-,-,Improved
