Iteration,Feature Count,Feature Set,Metric,Best Metric,Acceptance Probability,Random Number,Outcome
2,2,"[19, 83]",0.6835308416894561,0.6835308416894561,-,-,Improved
3,2,"[81, 83]",0.7093588574901246,0.7093588574901246,-,-,Improved
4,2,"[39, 81]",0.7151321786690975,0.7151321786690975,-,-,Improved
5,3,"[39, 69, 81]",0.7716499544211486,0.7716499544211486,-,-,Improved
6,3,"[39, 69, 81]",0.7534184138559709,0.7716499544211486,0.14987697555277107,0.2392381825658506,Reject
7,3,"[39, 69, 81]",0.7585840170161046,0.7716499544211486,0.25311028395357016,0.524130171525278,Reject
8,3,"[39, 69, 86]",0.7879064114250988,0.7879064114250988,-,-,Improved
9,4,"[39, 60, 69, 86]",0.7955028866605894,0.7955028866605894,-,-,Improved
10,5,"[1, 39, 60, 69, 86]",0.8012762078395624,0.8012762078395624,-,-,Improved
11,6,"[1, 39, 60, 69, 81, 86]",0.7993011242783349,0.8012762078395624,0.8055689440990265,0.29905219371328573,Accept
12,6,"[1, 60, 69, 73, 81, 86]",0.8015800668489821,0.8015800668489821,-,-,Improved
13,7,"[1, 60, 69, 73, 81, 86, 88]",0.8067456700091158,0.8067456700091158,-,-,Improved
14,8,"[1, 19, 60, 69, 73, 81, 86, 88]",0.8034032209054999,0.8067456700091158,0.6858558615170924,0.46747179280185636,Accept
15,9,"[1, 19, 57, 60, 69, 73, 81, 86, 88]",0.8062898814949864,0.8067456700091158,-,-,Improved
16,8,"[1, 19, 57, 60, 69, 73, 81, 86]",0.7982376177453662,0.8067456700091158,0.3957851569296498,0.2796062748483491,Accept
17,7,"[1, 19, 57, 60, 69, 81, 86]",0.799149194773625,0.8067456700091158,-,-,Improved
18,6,"[1, 57, 60, 69, 81, 86]",0.8058340929808568,0.8067456700091158,-,-,Improved
19,6,"[1, 57, 60, 69, 81, 86]",0.7885141294439381,0.8067456700091158,0.12813112110315256,0.5688607027399719,Reject
20,6,"[1, 57, 60, 69, 81, 86]",0.7986934062594956,0.8067456700091158,0.42499820322484877,0.965486375563578,Reject
21,5,"[57, 60, 69, 81, 86]",0.7996049832877545,0.8067456700091158,0.47049234858652356,0.010989251673271139,Accept
22,5,"[57, 60, 69, 81, 86]",0.7716499544211486,0.8067456700091158,0.03278205434466634,0.08877014916277215,Reject
23,5,"[57, 60, 69, 81, 86]",0.7828927377696748,0.8067456700091158,0.12695360208408765,0.5071762491028248,Reject
24,5,"[57, 60, 69, 81, 86]",0.7865390458827104,0.8067456700091158,0.19594524667478067,0.26123323811847154,Reject
25,4,"[57, 69, 81, 86]",0.781981160741416,0.8067456700091158,0.10853269673452338,0.03406900682930614,Accept
26,5,"[46, 57, 69, 81, 86]",0.7953509571558797,0.8067456700091158,-,-,Improved
27,5,"[46, 57, 69, 81, 86]",0.7763597690671529,0.8067456700091158,0.08702260451028913,0.8414221458084287,Reject
28,6,"[46, 57, 66, 69, 81, 86]",0.7968702522029778,0.8067456700091158,-,-,Improved
29,6,"[46, 57, 66, 69, 81, 86]",0.7859313278638712,0.8067456700091158,0.23813702974726556,0.27808397757051306,Reject
30,6,"[13, 46, 57, 69, 81, 86]",0.8015800668489821,0.8067456700091158,-,-,Improved
31,6,"[13, 46, 50, 57, 81, 86]",0.8152537222728654,0.8152537222728654,-,-,Improved
32,6,"[13, 46, 50, 57, 81, 86]",0.7999088422971741,0.8152537222728654,0.1256226904606139,0.4028242821970318,Reject
33,6,"[13, 46, 50, 57, 81, 86]",0.8003646308113036,0.8152537222728654,0.13091771856702056,0.6956113313594402,Reject
34,6,"[13, 16, 50, 57, 81, 86]",0.80325129140079,0.8152537222728654,0.19098648554586542,0.0304446691995941,Accept
35,6,"[13, 16, 44, 50, 57, 81]",0.8035551504102096,0.8152537222728654,-,-,Improved
36,6,"[16, 34, 44, 50, 57, 81]",0.8050744454573078,0.8152537222728654,-,-,Improved
37,6,"[16, 34, 44, 50, 57, 81]",0.8002127013065937,0.8152537222728654,0.501009174030694,0.9612932126682515,Reject
38,6,"[16, 34, 44, 50, 57, 81]",0.7892737769674871,0.8152537222728654,0.10342961394779207,0.7586826562306043,Reject
39,6,"[16, 34, 44, 50, 57, 81]",0.7974779702218171,0.8152537222728654,0.33226642049682653,0.5099442319319994,Reject
40,7,"[16, 34, 44, 50, 57, 59, 81]",0.8128228501975083,0.8152537222728654,-,-,Improved
41,7,"[16, 34, 44, 50, 57, 59, 81]",0.800060771801884,0.8152537222728654,0.15127764618558234,0.5074098624291548,Reject
42,8,"[16, 28, 34, 44, 50, 57, 59, 81]",0.8125189911880887,0.8152537222728654,0.9555943278142751,0.2340992176515535,Accept
43,9,"[16, 28, 34, 44, 50, 57, 59, 70, 81]",0.8052263749620177,0.8152537222728654,0.33249364627770356,0.16940986877649178,Accept
44,9,"[16, 28, 34, 44, 50, 59, 70, 78, 81]",0.8047705864478881,0.8152537222728654,0.9328451436671267,0.06460779170172626,Accept
45,10,"[16, 28, 34, 44, 50, 59, 70, 78, 81, 85]",0.8034032209054999,0.8152537222728654,0.8100536867303141,0.08559067121500119,Accept
46,9,"[16, 34, 44, 50, 59, 70, 78, 81, 85]",0.8123670616833789,0.8152537222728654,-,-,Improved
47,9,"[16, 34, 50, 59, 61, 70, 78, 81, 85]",0.8132786387116377,0.8152537222728654,-,-,Improved
48,8,"[16, 34, 50, 59, 70, 78, 81, 85]",0.8114554846551201,0.8152537222728654,0.7486598254933169,0.41976157075387033,Accept
49,7,"[16, 34, 50, 70, 78, 81, 85]",0.807353388027955,0.8152537222728654,0.517944254373953,0.3497736504207303,Accept
50,8,"[16, 21, 34, 50, 70, 78, 81, 85]",0.8097842601033121,0.8152537222728654,-,-,Improved
51,9,"[16, 21, 34, 45, 50, 70, 78, 81, 85]",0.8163172288058341,0.8163172288058341,-,-,Improved
52,9,"[16, 21, 34, 45, 50, 70, 78, 81, 85]",0.8097842601033121,0.8163172288058341,0.3396570968952974,0.7300986853083796,Reject
53,8,"[21, 34, 45, 50, 70, 78, 81, 85]",0.8103919781221514,0.8163172288058341,0.3718506113619192,0.19572070232444905,Accept
54,7,"[21, 34, 45, 50, 70, 78, 81]",0.8075053175326649,0.8163172288058341,0.6145795814829658,0.5364616489493472,Accept
