Iteration,Feature Count,Feature Set,Metric,Best Metric,Acceptance Probability,Random Number,Outcome
2,2,"[7, 76]",0.7667882102704345,0.7667882102704345,-,-,Improved
3,3,"[7, 72, 76]",0.794287450622911,0.794287450622911,-,-,Improved
4,4,"[7, 72, 74, 76]",0.8006684898207231,0.8006684898207231,-,-,Improved
5,4,"[7, 72, 74, 76]",0.7921604375569735,0.8006684898207231,0.41609216042002384,0.7652190200765197,Reject
6,4,"[7, 40, 74, 76]",0.8021877848678214,0.8021877848678214,-,-,Improved
7,4,"[7, 40, 74, 76]",0.7772713460954117,0.8021877848678214,0.07279903928278601,0.9556648002469563,Reject
8,5,"[7, 40, 74, 76, 87]",0.8091765420844728,0.8091765420844728,-,-,Improved
9,5,"[7, 40, 74, 76, 87]",0.7993011242783349,0.8091765420844728,0.34662218503592135,0.4087462970124963,Reject
10,5,"[7, 40, 74, 76, 87]",0.7941355211182012,0.8091765420844728,0.1959235769217549,0.5475528063890067,Reject
11,5,"[40, 58, 74, 76, 87]",0.8100881191127317,0.8100881191127317,-,-,Improved
12,5,"[40, 58, 74, 76, 87]",0.7958067456700091,0.8100881191127317,0.2061542655165885,0.6010467640598199,Reject
13,6,"[2, 40, 58, 74, 76, 87]",0.8038590094196293,0.8100881191127317,0.4987117684863189,0.3246436737757864,Accept
14,5,"[2, 40, 74, 76, 87]",0.7999088422971741,0.8100881191127317,0.6404083855593888,0.06854135053974908,Accept
15,4,"[40, 74, 76, 87]",0.8052263749620177,0.8100881191127317,-,-,Improved
16,4,"[40, 74, 76, 87]",0.79504709814646,0.8100881191127317,0.30983327015496714,0.9186059765928769,Reject
17,4,"[40, 74, 87, 91]",0.7955028866605894,0.8100881191127317,0.3228519366883599,0.26929065824060117,Accept
18,4,"[40, 74, 87, 91]",0.7458219386204801,0.8100881191127317,0.002923977092148486,0.4300267790566522,Reject
19,4,"[40, 74, 87, 91]",0.7749924035247645,0.8100881191127317,0.08775567581350849,0.09831841959753607,Reject
20,4,"[40, 74, 75, 91]",0.8029474323913705,0.8100881191127317,-,-,Improved
21,4,"[40, 74, 75, 91]",0.7876025524156791,0.8100881191127317,0.15608501012579173,0.43261016671044594,Reject
22,4,"[74, 75, 82, 91]",0.8034032209054999,0.8100881191127317,-,-,Improved
23,4,"[74, 75, 82, 91]",0.7912488605287147,0.8100881191127317,0.22289764227603437,0.5093399836572617,Reject
24,4,"[74, 75, 82, 91]",0.7915527195381343,0.8100881191127317,0.22802510505450213,0.817770363496536,Reject
25,4,"[31, 74, 75, 82]",0.792616226071103,0.8100881191127317,0.2568600546132397,0.23847638979568653,Accept
26,3,"[31, 75, 82]",0.7892737769674871,0.8100881191127317,0.6534938324268074,0.18696232741538954,Accept
27,3,"[31, 75, 82]",0.781069583713157,0.8100881191127317,0.3482740027629202,0.6758400472926567,Reject
28,3,"[75, 76, 82]",0.7897295654816165,0.8100881191127317,-,-,Improved
29,3,"[75, 76, 82]",0.7517471893041628,0.8100881191127317,0.006858112839545867,0.4364036090772343,Reject
30,4,"[75, 76, 82, 89]",0.7892737769674871,0.8100881191127317,0.9413956285465537,0.19737897942049665,Accept
31,4,"[42, 75, 76, 89]",0.7932239440899422,0.8100881191127317,-,-,Improved
32,5,"[42, 74, 75, 76, 89]",0.7935278030993619,0.8100881191127317,-,-,Improved
33,6,"[40, 42, 74, 75, 76, 89]",0.7971741112123975,0.8100881191127317,-,-,Improved
34,7,"[40, 42, 69, 74, 75, 76, 89]",0.8055302339714373,0.8100881191127317,-,-,Improved
35,7,"[11, 42, 69, 74, 75, 76, 89]",0.804922515952598,0.8100881191127317,0.9188134493730413,0.44090778975004763,Accept
36,8,"[0, 11, 42, 69, 74, 75, 76, 89]",0.8011242783348527,0.8100881191127317,0.5859349340253113,0.3562063542267425,Accept
37,9,"[0, 9, 11, 42, 69, 74, 75, 76, 89]",0.8088726830750532,0.8100881191127317,-,-,Improved
38,10,"[0, 9, 11, 42, 62, 69, 74, 75, 76, 89]",0.8050744454573078,0.8100881191127317,0.5796098991246614,0.09411846684210523,Accept
39,11,"[0, 9, 11, 42, 60, 62, 69, 74, 75, 76, 89]",0.8079611060467943,0.8100881191127317,-,-,Improved
40,10,"[0, 9, 11, 42, 60, 69, 74, 75, 76, 89]",0.8102400486174415,0.8102400486174415,-,-,Improved
41,10,"[0, 9, 11, 42, 60, 69, 71, 74, 76, 89]",0.8097842601033121,0.8102400486174415,0.9347731757250393,0.5169367501271236,Accept
42,10,"[0, 9, 11, 42, 60, 69, 71, 74, 76, 89]",0.8094804010938924,0.8102400486174415,0.9555943278142751,0.968855785209741,Reject
43,11,"[0, 9, 11, 20, 42, 60, 69, 71, 74, 76, 89]",0.8100881191127317,0.8102400486174415,-,-,Improved
44,11,"[0, 9, 20, 42, 60, 69, 71, 74, 76, 81, 89]",0.8097842601033121,0.8102400486174415,0.9547134405393194,0.4201834296090855,Accept
45,11,"[0, 9, 20, 42, 49, 60, 71, 74, 76, 81, 89]",0.8143421452446065,0.8143421452446065,-,-,Improved
46,11,"[0, 9, 20, 42, 49, 60, 71, 74, 76, 81, 89]",0.80325129140079,0.8143421452446065,0.17801220850102947,0.6347664688578768,Reject
