Iteration,Feature Count,Feature Set,Metric,Best Metric,Acceptance Probability,Random Number,Outcome
2,2,"[35, 77]",0.7414159829838954,0.7414159829838954,-,-,Improved
3,3,"[35, 49, 77]",0.7724096019446977,0.7724096019446977,-,-,Improved
4,3,"[35, 49, 77]",0.7470373746581586,0.7724096019446977,0.07511472801882849,0.6252200482513178,Reject
5,3,"[35, 74, 77]",0.7897295654816165,0.7897295654816165,-,-,Improved
6,3,"[35, 74, 77]",0.7836523852932239,0.7897295654816165,0.5311839859911401,0.5851474070023898,Reject
7,3,"[35, 41, 74]",0.7891218474627772,0.7897295654816165,0.9380953149876342,0.1161720108272698,Accept
8,3,"[35, 41, 74]",0.7591917350349437,0.7897295654816165,0.04162523447706682,0.5542822912544877,Reject
9,4,"[35, 41, 43, 74]",0.799149194773625,0.799149194773625,-,-,Improved
10,5,"[35, 41, 43, 57, 74]",0.8075053175326649,0.8075053175326649,-,-,Improved
11,5,"[35, 41, 43, 57, 74]",0.7973260407171072,0.8075053175326649,0.328146547768317,0.3654450914830196,Reject
12,4,"[35, 41, 43, 57]",0.7939835916134913,0.8075053175326649,0.22421850720587405,0.18205980218697682,Accept
13,4,"[35, 41, 43, 57]",0.7651169857186265,0.8075053175326649,0.039791554600471374,0.36850378148512763,Reject
14,4,"[35, 41, 43, 57]",0.7912488605287147,0.8075053175326649,0.7345285811122946,0.9411894124566197,Reject
15,4,"[35, 41, 43, 57]",0.7879064114250988,0.8075053175326649,0.5003039050618765,0.6018757460104992,Reject
16,4,"[23, 35, 41, 57]",0.7956548161652993,0.8075053175326649,-,-,Improved
17,5,"[23, 35, 41, 57, 84]",0.8037070799149195,0.8075053175326649,-,-,Improved
18,6,"[23, 35, 41, 54, 57, 84]",0.8088726830750532,0.8088726830750532,-,-,Improved
19,7,"[12, 23, 35, 41, 54, 57, 84]",0.8160133697964145,0.8160133697964145,-,-,Improved
20,8,"[12, 23, 26, 35, 41, 54, 57, 84]",0.8228501975083561,0.8228501975083561,-,-,Improved
21,9,"[12, 23, 26, 35, 41, 54, 57, 84, 85]",0.8236098450319052,0.8236098450319052,-,-,Improved
22,9,"[12, 23, 26, 35, 54, 57, 78, 84, 85]",0.8193558189000304,0.8236098450319052,0.5944544014335521,0.19009893679383982,Accept
23,9,"[12, 26, 35, 54, 57, 78, 82, 84, 85]",0.81965967790945,0.8236098450319052,-,-,Improved
24,9,"[12, 26, 35, 54, 57, 71, 82, 84, 85]",0.8219386204800972,0.8236098450319052,-,-,Improved
25,9,"[12, 26, 35, 54, 57, 71, 82, 85, 92]",0.8195077484047402,0.8236098450319052,0.7361628123560332,0.359953913359066,Accept
26,8,"[26, 35, 54, 57, 71, 82, 85, 92]",0.8223944089942267,0.8236098450319052,-,-,Improved
27,8,"[26, 35, 54, 57, 71, 82, 85, 92]",0.8195077484047402,0.8236098450319052,0.689960257716499,0.9534200975554118,Reject
28,8,"[26, 35, 54, 57, 71, 77, 82, 92]",0.8152537222728654,0.8236098450319052,0.39561650786323344,0.18231903749050782,Accept
29,9,"[26, 35, 54, 57, 71, 77, 82, 88, 92]",0.8163172288058341,0.8236098450319052,-,-,Improved
30,8,"[26, 35, 54, 57, 71, 77, 88, 92]",0.8167730173199635,0.8236098450319052,-,-,Improved
31,7,"[26, 35, 54, 71, 77, 88, 92]",0.8135824977210574,0.8236098450319052,0.652455277759847,0.34744779542550397,Accept
32,7,"[26, 35, 54, 71, 77, 88, 92]",0.7988453357642054,0.8236098450319052,0.13637933301154925,0.7236194668079806,Reject
33,6,"[26, 35, 54, 71, 77, 88]",0.8226982680036463,0.8236098450319052,-,-,Improved
34,6,"[26, 35, 54, 71, 77, 88]",0.8181403828623519,0.8236098450319052,0.5332894924488919,0.9247065357897686,Reject
35,6,"[26, 35, 47, 54, 77, 88]",0.8225463384989365,0.8236098450319052,0.9790544279187343,0.31773172455167875,Accept
36,6,"[26, 35, 47, 54, 77, 88]",0.8116074141598298,0.8236098450319052,0.214489604553106,0.9991347775012239,Reject
37,7,"[1, 26, 35, 47, 54, 77, 88]",0.8242175630507445,0.8242175630507445,-,-,Improved
38,6,"[1, 26, 47, 54, 77, 88]",0.8176845943482224,0.8242175630507445,0.39137543735704705,0.15462677292065397,Accept
39,5,"[26, 47, 54, 77, 88]",0.8164691583105439,0.8242175630507445,0.8383740600837365,0.6286687159793085,Accept
40,5,"[26, 47, 54, 77, 88]",0.7979337587359465,0.8242175630507445,0.06616575579409374,0.6466990135215198,Reject
41,5,"[26, 47, 54, 77, 88]",0.8040109389243391,0.8242175630507445,0.15823550261711708,0.7128052722187959,Reject
42,6,"[2, 26, 47, 54, 77, 88]",0.817228805834093,0.8242175630507445,-,-,Improved
43,6,"[2, 26, 47, 54, 77, 88]",0.8084168945609237,0.8242175630507445,0.2643351285167036,0.3065682032485194,Reject
44,6,"[2, 26, 47, 54, 77, 88]",0.8096323305986023,0.8242175630507445,0.3139250095174206,0.8784313939982936,Reject
45,5,"[2, 26, 47, 54, 88]",0.8141902157398967,0.8242175630507445,0.6261773291070117,0.27463698121336677,Accept
46,6,"[2, 26, 47, 54, 84, 88]",0.8109996961409905,0.8242175630507445,0.6086616885528496,0.16228969396228,Accept
47,6,"[2, 26, 47, 54, 84, 88]",0.7961106046794287,0.8242175630507445,0.09629204595679888,0.39515558744535373,Reject
48,6,"[2, 26, 54, 78, 84, 88]",0.8065937405044059,0.8242175630507445,0.49680689084863655,0.103692743037752,Accept
49,6,"[2, 26, 54, 78, 84, 88]",0.7900334244910362,0.8242175630507445,0.0702344148659681,0.7718732985662398,Reject
50,6,"[2, 54, 75, 78, 84, 88]",0.807353388027955,0.8242175630507445,-,-,Improved
51,6,"[2, 54, 75, 78, 84, 88]",0.7986934062594956,0.8242175630507445,0.2424223769566661,0.2719548069536889,Reject
52,7,"[2, 54, 75, 78, 84, 87, 88]",0.8055302339714373,0.8242175630507445,0.7398226705052559,0.6989860494389377,Accept
53,8,"[2, 50, 54, 75, 78, 84, 87, 88]",0.8056821634761471,0.8242175630507445,-,-,Improved
54,9,"[2, 30, 50, 54, 75, 78, 84, 87, 88]",0.8059860224855667,0.8242175630507445,-,-,Improved
55,9,"[2, 30, 50, 54, 75, 78, 84, 87, 88]",0.8044667274384686,0.8242175630507445,0.7719716359369121,0.9663315861181198,Reject
56,8,"[2, 30, 54, 75, 78, 84, 87, 88]",0.8041628684290489,0.8242175630507445,0.7307338140408084,0.6818794149752435,Accept
57,9,"[2, 30, 53, 54, 75, 78, 84, 87, 88]",0.807353388027955,0.8242175630507445,-,-,Improved
58,10,"[2, 30, 53, 54, 74, 75, 78, 84, 87, 88]",0.8160133697964145,0.8242175630507445,-,-,Improved
59,11,"[2, 18, 30, 53, 54, 74, 75, 78, 84, 87, 88]",0.8164691583105439,0.8242175630507445,-,-,Improved
60,12,"[2, 18, 30, 51, 53, 54, 74, 75, 78, 84, 87, 88]",0.81965967790945,0.8242175630507445,-,-,Improved
61,12,"[2, 18, 19, 30, 51, 53, 54, 75, 78, 84, 87, 88]",0.81965967790945,0.8242175630507445,1.0,0.9447016160034304,Accept
62,12,"[2, 18, 19, 30, 51, 53, 54, 75, 78, 84, 87, 88]",0.8163172288058341,0.8242175630507445,0.5428750532307005,0.587180122315434,Reject
63,13,"[2, 18, 19, 30, 33, 51, 53, 54, 75, 78, 84, 87, 88]",0.8192038893953205,0.8242175630507445,0.9193000514633632,0.2805931325657324,Accept
64,12,"[2, 18, 30, 33, 51, 53, 54, 75, 78, 84, 87, 88]",0.8211789729565482,0.8242175630507445,-,-,Improved
65,13,"[2, 18, 30, 33, 51, 53, 54, 75, 78, 84, 85, 87, 88]",0.8222424794895169,0.8242175630507445,-,-,Improved
66,13,"[2, 18, 30, 33, 51, 53, 54, 69, 75, 78, 84, 85, 87]",0.8223944089942267,0.8242175630507445,-,-,Improved
67,13,"[2, 18, 33, 51, 53, 54, 69, 75, 77, 78, 84, 85, 87]",0.8269522941355211,0.8269522941355211,-,-,Improved
68,12,"[2, 33, 51, 53, 54, 69, 75, 77, 78, 84, 85, 87]",0.8263445761166819,0.8269522941355211,0.8887208573218084,0.06582019263391037,Accept
69,13,"[2, 33, 47, 51, 53, 54, 69, 75, 77, 78, 84, 85, 87]",0.8272561531449407,0.8272561531449407,-,-,Improved
70,13,"[2, 33, 47, 51, 53, 54, 69, 75, 77, 78, 84, 85, 87]",0.8193558189000304,0.8272561531449407,0.20913481147832666,0.8439226434269519,Reject
71,13,"[2, 47, 51, 53, 54, 69, 75, 76, 77, 78, 84, 85, 87]",0.8305986022485566,0.8305986022485566,-,-,Improved
72,12,"[2, 51, 53, 54, 69, 75, 76, 77, 78, 84, 85, 87]",0.8309024612579763,0.8309024612579763,-,-,Improved
73,12,"[2, 51, 53, 54, 69, 75, 76, 77, 78, 84, 85, 87]",0.8254329990884229,0.8309024612579763,0.327434651030436,0.9188115830405369,Reject
74,12,"[2, 51, 53, 54, 69, 75, 76, 77, 78, 84, 85, 87]",0.8287754481920389,0.8309024612579763,0.6449598587790596,0.8725490388211885,Reject
75,12,"[2, 19, 51, 54, 69, 75, 76, 77, 78, 84, 85, 87]",0.830294743239137,0.8309024612579763,0.8811119231526109,0.762498044952914,Accept
76,12,"[2, 19, 51, 54, 69, 75, 76, 77, 78, 84, 85, 87]",0.8269522941355211,0.8309024612579763,0.49501356559301907,0.5093597612217046,Reject
77,12,"[2, 19, 51, 54, 63, 69, 75, 76, 77, 78, 85, 87]",0.8274080826496506,0.8309024612579763,0.5414971624699909,0.44005154596773377,Accept
78,12,"[2, 19, 51, 54, 63, 69, 75, 76, 77, 78, 85, 87]",0.8243694925554542,0.8309024612579763,0.5208856046885412,0.9997117742063104,Reject
79,13,"[2, 19, 46, 51, 54, 63, 69, 75, 76, 77, 78, 85, 87]",0.8251291400790033,0.8309024612579763,0.610113837878747,0.2581242708321143,Accept
80,14,"[2, 19, 46, 51, 54, 61, 63, 69, 75, 76, 77, 78, 85, 87]",0.8283196596779094,0.8309024612579763,-,-,Improved
81,13,"[2, 19, 46, 51, 54, 61, 69, 75, 76, 77, 78, 85, 87]",0.8296870252202978,0.8309024612579763,-,-,Improved
82,13,"[2, 19, 46, 51, 54, 61, 69, 75, 76, 77, 78, 85, 87]",0.8251291400790033,0.8309024612579763,0.3611474385890023,0.4041203418150038,Reject
83,13,"[2, 19, 42, 46, 51, 54, 61, 69, 75, 76, 78, 85, 87]",0.8258887876025525,0.8309024612579763,0.4243073827851481,0.24774190664767237,Accept
84,14,"[2, 19, 42, 46, 51, 54, 61, 69, 75, 76, 78, 85, 87, 92]",0.8269522941355211,0.8309024612579763,-,-,Improved
85,14,"[2, 19, 42, 46, 51, 54, 61, 69, 75, 76, 78, 85, 87, 92]",0.8201154664235795,0.8309024612579763,0.20711797588243985,0.5332462966198231,Reject
86,14,"[2, 19, 42, 46, 51, 54, 61, 69, 75, 76, 78, 85, 87, 92]",0.8223944089942267,0.8309024612579763,0.3463702646766546,0.4109695212029464,Reject
87,14,"[2, 19, 42, 46, 51, 54, 61, 69, 75, 76, 78, 85, 87, 92]",0.8219386204800972,0.8309024612579763,0.30787785069834667,0.9468840390753613,Reject
88,13,"[2, 19, 42, 46, 51, 54, 61, 75, 76, 78, 85, 87, 92]",0.827104223640231,0.8309024612579763,-,-,Improved
89,12,"[2, 19, 42, 46, 51, 54, 61, 75, 76, 78, 85, 87]",0.8309024612579763,0.8309024612579763,-,-,Improved
90,12,"[2, 19, 42, 46, 51, 54, 61, 75, 76, 78, 85, 87]",0.8240656335460347,0.8309024612579763,0.19097591071687886,0.49798427724634764,Reject
91,11,"[2, 19, 42, 46, 51, 54, 61, 75, 76, 78, 87]",0.8274080826496506,0.8309024612579763,0.4253907563850895,0.35390035766359784,Accept
92,11,"[2, 19, 42, 46, 51, 54, 61, 75, 76, 78, 87]",0.8195077484047402,0.8309024612579763,0.1419909957600139,0.8476942147749519,Reject
93,12,"[2, 19, 42, 46, 51, 54, 61, 75, 76, 78, 79, 87]",0.8275600121543604,0.8309024612579763,-,-,Improved
94,12,"[2, 9, 19, 42, 46, 51, 54, 61, 76, 78, 79, 87]",0.8257368580978426,0.8309024612579763,0.6315325703143803,0.5552121003090357,Accept
95,11,"[9, 19, 42, 46, 51, 54, 61, 76, 78, 79, 87]",0.8290793072014585,0.8309024612579763,-,-,Improved
96,11,"[9, 19, 42, 46, 51, 54, 61, 76, 78, 79, 87]",0.8234579155271954,0.8309024612579763,0.23553612075205926,0.37995182393386395,Reject
97,11,"[9, 19, 42, 46, 51, 54, 61, 76, 78, 79, 87]",0.8216347614706776,0.8309024612579763,0.14454414409847266,0.33255872226274086,Reject
98,11,"[9, 19, 42, 46, 51, 54, 61, 76, 78, 79, 87]",0.8205712549377089,0.8309024612579763,0.1072268652347372,0.20003737322857773,Reject
99,10,"[9, 19, 42, 46, 51, 54, 76, 78, 79, 87]",0.8236098450319052,0.8309024612579763,0.23459946600304143,0.08091956888616136,Accept
100,10,"[0, 9, 19, 42, 51, 54, 76, 78, 79, 87]",0.8233059860224856,0.8309024612579763,0.9218596705206725,0.0721450459638151,Accept
101,10,"[0, 9, 19, 42, 51, 54, 76, 78, 79, 87]",0.8195077484047402,0.8309024612579763,0.35797169286797376,0.8536798657224026,Reject
102,9,"[0, 9, 19, 42, 51, 54, 76, 78, 79]",0.8240656335460347,0.8309024612579763,-,-,Improved
103,9,"[0, 9, 19, 42, 51, 54, 76, 78, 79]",0.810695837131571,0.8309024612579763,0.02498393397228219,0.6502967510889742,Reject
104,9,"[0, 9, 19, 42, 51, 54, 76, 78, 79]",0.8214828319659678,0.8309024612579763,0.48677751537727015,0.5547850920086641,Reject
105,8,"[0, 9, 42, 51, 54, 76, 78, 79]",0.821330902461258,0.8309024612579763,0.46301400545029314,0.014863910608782671,Accept
106,8,"[0, 9, 42, 51, 54, 76, 78, 79]",0.8198116074141598,0.8309024612579763,0.6491459977077796,0.9596257765197159,Reject
107,8,"[0, 9, 42, 51, 54, 76, 78, 79]",0.8158614402917046,0.8309024612579763,0.2077823569853723,0.4520842734911813,Reject
108,7,"[0, 9, 42, 51, 76, 78, 79]",0.821330902461258,0.8309024612579763,1.0,0.5560753593227348,Accept
109,7,"[0, 9, 42, 51, 76, 78, 79]",0.8052263749620177,0.8309024612579763,0.008911287384331909,0.6719919838306482,Reject
110,7,"[0, 9, 42, 51, 76, 78, 79]",0.8207231844424188,0.8309024612579763,0.835329541729673,0.9314059509054736,Reject
111,7,"[0, 9, 42, 51, 76, 78, 79]",0.8035551504102096,0.8309024612579763,0.004911955041136883,0.15731398419948095,Reject
112,7,"[0, 9, 42, 51, 76, 78, 79]",0.7997569127924643,0.8309024612579763,0.0014778452486695199,0.32824624195923335,Reject
113,8,"[0, 9, 42, 51, 74, 76, 78, 79]",0.8178365238529323,0.8309024612579763,0.3442935679299165,0.3088114132812243,Accept
114,7,"[9, 42, 51, 74, 76, 78, 79]",0.8173807353388028,0.8309024612579763,0.8689390526426494,0.29658965784802727,Accept
115,7,"[9, 42, 59, 74, 76, 78, 79]",0.817988453357642,0.8309024612579763,-,-,Improved
116,8,"[9, 17, 42, 59, 74, 76, 78, 79]",0.8190519598906107,0.8309024612579763,-,-,Improved
117,8,"[9, 17, 42, 59, 74, 76, 78, 79]",0.817988453357642,0.8309024612579763,0.713319554288752,0.8128893404605285,Reject
118,8,"[9, 42, 59, 74, 76, 78, 79, 86]",0.8190519598906107,0.8309024612579763,1.0,0.4032195202460698,Accept
119,7,"[9, 42, 59, 76, 78, 79, 86]",0.8233059860224856,0.8309024612579763,-,-,Improved
120,7,"[9, 42, 59, 76, 78, 79, 86]",0.8223944089942267,0.8309024612579763,0.7419832736906913,0.9998303345944596,Reject
121,8,"[9, 42, 59, 76, 78, 79, 80, 86]",0.8293831662108782,0.8309024612579763,-,-,Improved
122,8,"[9, 42, 59, 76, 78, 79, 80, 86]",0.8231540565177757,0.8309024612579763,0.12484688289864933,0.39052142060735207,Reject
123,8,"[9, 42, 48, 59, 76, 79, 80, 86]",0.8295350957155879,0.8309024612579763,-,-,Improved
124,8,"[42, 48, 59, 76, 79, 80, 86, 87]",0.8315101792768156,0.8315101792768156,-,-,Improved
125,8,"[42, 48, 59, 76, 79, 80, 86, 87]",0.8219386204800972,0.8315101792768156,0.03706851835063944,0.6287641934319,Reject
126,8,"[42, 48, 59, 76, 79, 80, 86, 87]",0.8240656335460347,0.8315101792768156,0.07512105569821392,0.7445851672522321,Reject
