Iteration,Feature Count,Feature Set,Metric,Best Metric,Acceptance Probability,Random Number,Outcome
1,47,"[0, 2, 3, 5, 8, 10, 11, 13, 14, 15, 17, 18, 19, 20, 21, 24, 26, 27, 29, 30, 31, 33, 35, 36, 37, 38, 42, 43, 45, 51, 52, 53, 54, 56, 58, 62, 64, 65, 69, 71, 76, 80, 84, 86, 88, 89, 92]",0.8384989364934671,0.8384989364934671,-,-,Improved
2,47,"[0, 2, 3, 5, 8, 10, 11, 13, 14, 15, 17, 18, 19, 20, 21, 24, 26, 27, 29, 30, 31, 33, 35, 36, 37, 38, 42, 43, 45, 47, 51, 52, 53, 54, 56, 58, 62, 65, 69, 71, 76, 80, 84, 86, 88, 89, 92]",0.8406259495594044,0.8406259495594044,-,-,Improved
3,48,"[0, 2, 3, 5, 8, 10, 11, 13, 14, 15, 17, 18, 19, 20, 21, 22, 24, 26, 27, 29, 30, 31, 33, 35, 36, 37, 38, 42, 43, 45, 47, 51, 52, 53, 54, 56, 58, 62, 65, 69, 71, 76, 80, 84, 86, 88, 89, 92]",0.8403220905499849,0.8406259495594044,0.9996900194757693,0.0004640784041174406,Accept
4,48,"[0, 2, 3, 5, 8, 10, 11, 13, 14, 15, 17, 18, 19, 20, 21, 22, 24, 26, 29, 30, 31, 33, 35, 36, 37, 38, 42, 43, 45, 47, 51, 52, 53, 54, 56, 58, 62, 65, 69, 71, 75, 76, 80, 84, 86, 88, 89, 92]",0.8372835004557885,0.8406259495594044,0.9968732965511173,0.49249336142326805,Accept
5,49,"[0, 2, 3, 5, 8, 10, 11, 13, 14, 15, 17, 18, 19, 20, 21, 22, 24, 26, 29, 30, 31, 33, 35, 36, 37, 38, 42, 43, 45, 47, 51, 52, 53, 54, 56, 58, 62, 65, 69, 71, 75, 76, 80, 82, 84, 86, 88, 89, 92]",0.837739288969918,0.8406259495594044,-,-,Improved
6,49,"[0, 2, 3, 5, 8, 10, 11, 13, 14, 15, 17, 18, 20, 21, 22, 24, 25, 26, 29, 30, 31, 33, 35, 36, 37, 38, 42, 43, 45, 47, 51, 52, 53, 54, 56, 58, 62, 65, 69, 71, 75, 76, 80, 82, 84, 86, 88, 89, 92]",0.841841385597083,0.841841385597083,-,-,Improved
7,50,"[0, 2, 3, 5, 8, 10, 11, 13, 14, 15, 17, 18, 20, 21, 22, 24, 25, 26, 29, 30, 31, 33, 35, 36, 37, 38, 42, 43, 45, 47, 51, 52, 53, 54, 56, 58, 62, 65, 69, 71, 75, 76, 78, 80, 82, 84, 86, 88, 89, 92]",0.8415375265876633,0.841841385597083,0.9996773060162356,0.09909919527880662,Accept
8,51,"[0, 2, 3, 5, 8, 10, 11, 13, 14, 15, 17, 18, 20, 21, 22, 24, 25, 26, 29, 30, 31, 33, 35, 36, 37, 38, 42, 43, 45, 47, 51, 52, 53, 54, 56, 58, 62, 65, 69, 71, 74, 75, 76, 78, 80, 82, 84, 86, 88, 89, 92]",0.8424491036159222,0.8424491036159222,-,-,Improved
9,51,"[0, 2, 3, 5, 8, 10, 11, 13, 14, 15, 17, 18, 19, 20, 21, 22, 24, 25, 26, 29, 30, 31, 33, 35, 36, 37, 38, 42, 43, 45, 47, 51, 53, 54, 56, 58, 62, 65, 69, 71, 74, 75, 76, 78, 80, 82, 84, 86, 88, 89, 92]",0.8406259495594044,0.8424491036159222,0.9980261559193097,0.6926866848856331,Accept
10,51,"[0, 2, 3, 5, 8, 10, 11, 13, 14, 15, 17, 18, 20, 21, 22, 24, 25, 26, 29, 30, 31, 33, 35, 36, 37, 38, 42, 43, 45, 47, 51, 53, 54, 56, 58, 62, 65, 66, 69, 71, 74, 75, 76, 78, 80, 82, 84, 86, 88, 89, 92]",0.8404740200546946,0.8424491036159222,0.9998337011458439,0.6290951544402695,Accept
11,50,"[0, 2, 3, 5, 8, 10, 11, 13, 14, 15, 17, 18, 20, 21, 22, 24, 25, 26, 29, 30, 31, 33, 35, 36, 37, 38, 42, 43, 45, 51, 53, 54, 56, 58, 62, 65, 66, 69, 71, 74, 75, 76, 78, 80, 82, 84, 86, 88, 89, 92]",0.841841385597083,0.8424491036159222,-,-,Improved
