Iteration,Feature Count,Feature Set,Metric,Best Metric,Acceptance Probability,Random Number,Outcome
2,2,"[9, 86]",0.11645746164574616,0.13023255813953488,0.252205852639379,0.1531110243177517,Accept
3,2,"[21, 86]",0.12100139082058414,0.13023255813953488,-,-,Improved
4,2,"[66, 86]",0.12649800266311584,0.13023255813953488,-,-,Improved
5,3,"[66, 67, 86]",0.1376994122586062,0.1376994122586062,-,-,Improved
6,3,"[66, 67, 86]",0.12094395280235988,0.1376994122586062,0.17477122670144082,0.803424148195142,Reject
7,2,"[67, 86]",0.13153961136023917,0.1376994122586062,0.5232347500019621,0.25911837362741097,Accept
8,2,"[57, 67]",0.13189269746646795,0.1376994122586062,-,-,Improved
9,3,"[8, 57, 67]",0.13425925925925927,0.1376994122586062,-,-,Improved
10,2,"[8, 67]",0.12842242503259452,0.1376994122586062,0.5312346930626531,0.2840875162374791,Accept
11,2,"[8, 67]",0.1239356669820246,0.1376994122586062,0.6119210670420411,0.6614667569111407,Reject
12,2,"[8, 67]",0.12139219015280135,0.1376994122586062,0.4596213401439526,0.49755527747473294,Reject
13,3,"[8, 25, 67]",0.1823587710604559,0.1823587710604559,-,-,Improved
14,4,"[8, 11, 25, 67]",0.18161683277962348,0.1823587710604559,0.9197035841806681,0.767885084777059,Accept
15,5,"[8, 11, 25, 67, 92]",0.1884393063583815,0.1884393063583815,-,-,Improved
16,6,"[8, 11, 13, 25, 67, 92]",0.1901840490797546,0.1901840490797546,-,-,Improved
17,5,"[11, 13, 25, 67, 92]",0.18714121699196326,0.1901840490797546,0.7020197943824562,0.5851551803858975,Accept
18,5,"[11, 13, 16, 25, 67]",0.19736842105263158,0.19736842105263158,-,-,Improved
19,5,"[11, 13, 16, 25, 67]",0.18757327080890973,0.19736842105263158,0.31285425535605704,0.49270855053033447,Reject
20,5,"[11, 13, 16, 25, 67]",0.13993871297242083,0.19736842105263158,0.0010262778277621534,0.15536691729377716,Reject
21,5,"[11, 13, 16, 25, 80]",0.20666666666666667,0.20666666666666667,-,-,Improved
22,5,"[11, 13, 16, 25, 80]",0.13986928104575164,0.20666666666666667,0.00028390562182190174,0.316005959387771,Reject
23,5,"[11, 13, 16, 25, 80]",0.19107551487414187,0.20666666666666667,0.14580568783160816,0.2141375230583864,Reject
24,6,"[11, 13, 16, 25, 35, 80]",0.20027063599458728,0.20666666666666667,0.45028364593662623,0.2001430547914297,Accept
25,6,"[11, 13, 16, 25, 35, 80]",0.19447779111644659,0.20666666666666667,0.48194174490747343,0.9985751208439055,Reject
26,7,"[11, 13, 16, 25, 35, 59, 80]",0.20224719101123595,0.20666666666666667,-,-,Improved
27,6,"[11, 16, 25, 35, 59, 80]",0.20608575380359612,0.20666666666666667,-,-,Improved
28,7,"[11, 16, 25, 35, 59, 80, 88]",0.21763869132290184,0.21763869132290184,-,-,Improved
29,8,"[11, 16, 25, 28, 35, 59, 80, 88]",0.21225071225071226,0.21763869132290184,0.4932367509108308,0.4467166122423838,Accept
30,8,"[11, 16, 25, 28, 35, 59, 80, 88]",0.19433198380566802,0.21763869132290184,0.0930866718531274,0.7546680874535404,Reject
31,8,"[11, 16, 25, 28, 35, 59, 80, 88]",0.20161290322580644,0.21763869132290184,0.24081101646254044,0.7978103082568895,Reject
32,8,"[11, 16, 25, 28, 35, 59, 80, 88]",0.20542082738944364,0.21763869132290184,0.39719367485133894,0.46838962687447694,Reject
33,9,"[11, 16, 25, 28, 35, 59, 71, 80, 88]",0.21649484536082475,0.21763869132290184,-,-,Improved
34,8,"[11, 16, 25, 28, 35, 71, 80, 88]",0.21104815864022664,0.21763869132290184,0.47175876700061675,0.036066035925722106,Accept
35,8,"[11, 16, 25, 28, 35, 71, 80, 88]",0.199438202247191,0.21763869132290184,0.19837568301442762,0.8242186853129797,Reject
36,9,"[11, 16, 25, 28, 35, 71, 80, 88, 90]",0.22693997071742314,0.22693997071742314,-,-,Improved
37,10,"[11, 16, 25, 28, 35, 68, 71, 80, 88, 90]",0.22308892355694226,0.22693997071742314,0.5784210387967529,0.4531231764188276,Accept
38,11,"[11, 16, 25, 28, 35, 58, 68, 71, 80, 88, 90]",0.2252663622526636,0.22693997071742314,-,-,Improved
39,11,"[11, 16, 25, 28, 35, 58, 68, 71, 80, 88, 90]",0.2183206106870229,0.22693997071742314,0.36515439155163254,0.4354778766303109,Reject
40,11,"[11, 16, 25, 28, 35, 58, 68, 71, 80, 88, 90]",0.2222222222222222,0.22693997071742314,0.6401887865285497,0.8206183968411707,Reject
41,11,"[11, 16, 25, 28, 35, 58, 68, 71, 80, 88, 90]",0.2200328407224959,0.22693997071742314,0.46093418740410086,0.6360095561173458,Reject
42,11,"[11, 16, 25, 28, 35, 58, 68, 71, 80, 88, 90]",0.2141732283464567,0.22693997071742314,0.1904745851463114,0.3877645815309585,Reject
43,10,"[11, 16, 25, 35, 58, 68, 71, 80, 88, 90]",0.22555205047318613,0.22693997071742314,-,-,Improved
44,10,"[11, 16, 25, 35, 58, 68, 71, 80, 88, 90]",0.22188449848024316,0.22693997071742314,0.5715698225692323,0.8518521016759852,Reject
45,10,"[11, 16, 25, 35, 58, 68, 71, 80, 88, 90]",0.22136222910216719,0.22693997071742314,0.5244112714415943,0.7023920480671483,Reject
46,10,"[11, 16, 25, 35, 58, 68, 71, 80, 88, 90]",0.21937321937321938,0.22693997071742314,0.38231180542541543,0.8281939361310269,Reject
47,10,"[11, 16, 25, 35, 58, 68, 71, 80, 88, 90]",0.22390317700453857,0.22693997071742314,0.7716831460063156,0.8672312778018378,Reject
48,10,"[11, 16, 25, 35, 58, 67, 68, 71, 80, 90]",0.2263843648208469,0.22693997071742314,-,-,Improved
49,10,"[11, 16, 25, 35, 58, 67, 68, 71, 80, 90]",0.2062992125984252,0.22693997071742314,0.03990616682777842,0.6824198985394594,Reject
50,10,"[11, 16, 25, 35, 58, 67, 68, 71, 80, 90]",0.21915584415584416,0.22693997071742314,0.31005406159244314,0.43300915539861184,Reject
51,10,"[11, 16, 25, 35, 58, 67, 68, 71, 80, 90]",0.2222222222222222,0.22693997071742314,0.5060746708299031,0.6958424304525198,Reject
52,11,"[2, 11, 16, 25, 35, 58, 67, 68, 71, 80, 90]",0.23529411764705882,0.23529411764705882,-,-,Improved
53,11,"[2, 11, 16, 25, 35, 58, 67, 68, 71, 80, 90]",0.2,0.23529411764705882,0.002759775309596928,0.7679942490858217,Reject
54,11,"[2, 11, 16, 25, 35, 58, 67, 68, 71, 80, 90]",0.2191358024691358,0.23529411764705882,0.06554642917531875,0.21901805673401264,Reject
55,11,"[2, 11, 16, 25, 35, 58, 67, 68, 71, 80, 90]",0.23176661264181522,0.23529411764705882,0.548317836046227,0.7501361359264551,Reject
56,11,"[2, 11, 16, 25, 35, 58, 67, 68, 71, 80, 90]",0.21428571428571427,0.23529411764705882,0.02692045703606696,0.20406117788775746,Reject
57,11,"[2, 11, 16, 25, 35, 58, 67, 68, 71, 80, 90]",0.22657580919931858,0.23529411764705882,0.2197438593769825,0.7986441382238249,Reject
58,11,"[2, 11, 16, 25, 35, 58, 67, 68, 71, 80, 90]",0.2319277108433735,0.23529411764705882,0.5537670418512604,0.8748987731156351,Reject
59,11,"[2, 11, 16, 25, 35, 58, 67, 68, 71, 80, 90]",0.21568627450980393,0.23529411764705882,0.030895261741385613,0.8144703507382269,Reject
60,11,"[2, 11, 16, 25, 35, 58, 67, 68, 71, 80, 90]",0.2286634460547504,0.23529411764705882,0.3049138768514822,0.8885534918818895,Reject
61,11,"[2, 11, 16, 25, 35, 58, 67, 68, 71, 80, 90]",0.22093023255813954,0.23529411764705882,0.07435271146399426,0.3094203411941129,Reject
62,11,"[2, 11, 16, 25, 35, 58, 67, 68, 71, 80, 90]",0.22372881355932203,0.23529411764705882,0.12078901967568874,0.5717456138006225,Reject
63,11,"[2, 11, 16, 17, 25, 35, 58, 67, 68, 71, 90]",0.2278688524590164,0.23529411764705882,0.2539109660006433,0.00681315441725816,Accept
64,11,"[2, 11, 16, 17, 25, 35, 58, 67, 68, 71, 90]",0.21809369951534732,0.23529411764705882,0.16157103415623597,0.48706862365583614,Reject
65,11,"[2, 11, 16, 25, 35, 52, 58, 67, 68, 71, 90]",0.2257001647446458,0.23529411764705882,0.6646541628499323,0.5003277201071631,Accept
66,11,"[2, 11, 16, 25, 35, 52, 58, 67, 68, 71, 90]",0.2218487394957983,0.23529411764705882,0.48057486423193035,0.6186193151371749,Reject
67,10,"[11, 16, 25, 35, 52, 58, 67, 68, 71, 90]",0.22016806722689075,0.23529411764705882,0.34535973677379056,0.17397784404313565,Accept
68,11,"[11, 15, 16, 25, 35, 52, 58, 67, 68, 71, 90]",0.22982456140350876,0.23529411764705882,-,-,Improved
69,11,"[11, 15, 16, 25, 35, 52, 58, 67, 68, 71, 90]",0.21393841166936792,0.23529411764705882,0.04437769145116338,0.6998041587724851,Reject
70,12,"[11, 15, 16, 21, 25, 35, 52, 58, 67, 68, 71, 90]",0.23792486583184258,0.23792486583184258,-,-,Improved
71,12,"[11, 15, 16, 21, 25, 35, 52, 58, 67, 68, 71, 90]",0.2306368330464716,0.23792486583184258,0.23268217682187403,0.5696624849608665,Reject
72,12,"[11, 15, 16, 21, 25, 35, 52, 58, 67, 68, 71, 90]",0.2184115523465704,0.23792486583184258,0.019382807158072873,0.3863948242137435,Reject
73,12,"[1, 11, 15, 21, 25, 35, 52, 58, 67, 68, 71, 90]",0.2345679012345679,0.23792486583184258,0.5039650970334745,0.3740843453021139,Accept
74,12,"[1, 11, 15, 21, 25, 35, 52, 58, 67, 68, 71, 90]",0.23049645390070922,0.23792486583184258,0.4319313504701943,0.6960598721294097,Reject
75,13,"[1, 11, 15, 21, 25, 35, 52, 58, 67, 68, 71, 75, 90]",0.23310810810810811,0.23792486583184258,0.7378358025986511,0.6121214364434512,Accept
76,13,"[1, 11, 15, 21, 25, 35, 52, 58, 67, 68, 71, 75, 90]",0.21331316187594554,0.23792486583184258,0.015539409759258481,0.4294618213132875,Reject
77,13,"[1, 11, 15, 21, 25, 35, 52, 58, 67, 68, 71, 75, 90]",0.23129251700680273,0.23792486583184258,0.6798966921663607,0.9494890071275373,Reject
78,14,"[1, 11, 15, 21, 25, 32, 35, 52, 58, 67, 68, 71, 75, 90]",0.24035087719298245,0.24035087719298245,-,-,Improved
79,14,"[1, 11, 15, 21, 25, 32, 35, 52, 58, 67, 68, 71, 75, 90]",0.2288135593220339,0.24035087719298245,0.08196462273420907,0.831777118821484,Reject
80,14,"[1, 11, 15, 21, 25, 32, 35, 52, 58, 67, 68, 71, 75, 90]",0.22852233676975944,0.24035087719298245,0.07498147355818946,0.9015041964831241,Reject
81,14,"[1, 11, 15, 21, 25, 32, 35, 52, 58, 67, 68, 71, 75, 90]",0.23893805309734514,0.24035087719298245,0.7315852528913246,0.7768963886026687,Reject
82,14,"[1, 11, 15, 21, 25, 32, 35, 52, 58, 67, 68, 71, 75, 90]",0.22961730449251247,0.24035087719298245,0.0908596460229274,0.9975009434635876,Reject
83,14,"[1, 11, 15, 21, 25, 32, 35, 52, 58, 67, 68, 71, 75, 90]",0.23076923076923078,0.24035087719298245,0.11501811627945105,0.8528208743145018,Reject
84,14,"[1, 11, 15, 21, 25, 32, 35, 52, 58, 67, 68, 71, 75, 90]",0.21015761821366025,0.24035087719298245,0.0010243128432324802,0.6433769890048598,Reject
85,14,"[1, 11, 15, 21, 25, 32, 35, 52, 58, 67, 68, 71, 75, 90]",0.21019108280254778,0.24035087719298245,0.0009629016111618026,0.6664672721174202,Reject
86,14,"[1, 11, 15, 21, 25, 32, 35, 52, 58, 67, 68, 71, 75, 90]",0.23407917383820998,0.24035087719298245,0.23248903393486922,0.5635606073952132,Reject
87,14,"[1, 11, 15, 21, 25, 32, 35, 52, 58, 67, 68, 71, 75, 90]",0.2167235494880546,0.24035087719298245,0.003880999331151239,0.6043607343986811,Reject
88,14,"[1, 11, 15, 21, 25, 32, 35, 52, 58, 67, 68, 71, 75, 90]",0.21554770318021202,0.24035087719298245,0.00277579841324787,0.1822512758108682,Reject
89,14,"[1, 11, 15, 21, 25, 32, 35, 52, 58, 67, 68, 71, 75, 90]",0.21182266009852216,0.24035087719298245,0.0010708350837531852,0.14805007373981904,Reject
90,14,"[1, 11, 15, 21, 25, 32, 35, 52, 58, 67, 68, 71, 75, 90]",0.21809369951534732,0.24035087719298245,0.0045628678078434804,0.5110442840780595,Reject
91,14,"[1, 11, 15, 21, 25, 32, 35, 52, 58, 67, 68, 71, 75, 90]",0.231433506044905,0.24035087719298245,0.11290083913005491,0.498604241301159,Reject
92,14,"[1, 11, 15, 21, 25, 32, 35, 52, 58, 67, 68, 71, 75, 90]",0.21354166666666666,0.24035087719298245,0.0013281851042459736,0.1107120591981624,Reject
93,14,"[1, 11, 15, 21, 25, 32, 35, 52, 58, 67, 68, 71, 75, 90]",0.2278688524590164,0.24035087719298245,0.04437077927900103,0.3292113596347125,Reject
94,14,"[1, 11, 15, 21, 25, 32, 35, 52, 58, 67, 68, 71, 75, 90]",0.22673434856175972,0.24035087719298245,0.03230149031358178,0.401803282407598,Reject
95,14,"[1, 11, 15, 21, 25, 32, 35, 52, 58, 67, 68, 71, 75, 90]",0.2277580071174377,0.24035087719298245,0.040492015197580875,0.7780777397744907,Reject
96,14,"[1, 11, 15, 21, 25, 32, 35, 52, 58, 67, 68, 71, 75, 90]",0.22495606326889278,0.24035087719298245,0.019068161557444157,0.9970225476980533,Reject
97,13,"[1, 11, 15, 21, 25, 32, 52, 58, 67, 68, 71, 75, 90]",0.23905723905723905,0.24035087719298245,0.7145511988163608,0.2551833247619528,Accept
98,12,"[1, 11, 15, 21, 25, 32, 52, 58, 67, 68, 71, 75]",0.2380191693290735,0.24035087719298245,0.761530118803486,0.18794935211189157,Accept
99,13,"[1, 11, 15, 21, 25, 32, 52, 58, 67, 68, 71, 75, 77]",0.24543946932006633,0.24543946932006633,-,-,Improved
100,13,"[1, 11, 15, 21, 25, 32, 52, 58, 67, 68, 71, 75, 77]",0.225114854517611,0.24543946932006633,0.004330014458368811,0.573808811714077,Reject
101,13,"[1, 11, 15, 21, 25, 32, 52, 58, 67, 68, 71, 75, 77]",0.2353846153846154,0.24543946932006633,0.06590669395995571,0.3853473711551504,Reject
