Iteration,Feature Count,Feature Set,Metric,Best Metric,Acceptance Probability,Random Number,Outcome
2,2,"[14, 84]",0.5149439123532388,0.5149439123532388,-,-,Improved
3,3,"[11, 14, 84]",0.52666845484203,0.52666845484203,-,-,Improved
4,4,"[1, 11, 14, 84]",0.5542922750824305,0.5542922750824305,-,-,Improved
5,4,"[1, 11, 14, 84]",0.514795406570018,0.5542922750824305,0.01706736076483637,0.24171914190554988,Reject
6,4,"[1, 11, 14, 84]",0.5490500863557859,0.5542922750824305,0.5794229889441537,0.8925012013185886,Reject
7,3,"[1, 11, 84]",0.5524945046318103,0.5542922750824305,0.8277517542756178,0.3153218142979888,Accept
8,4,"[1, 11, 76, 84]",0.5488086826817397,0.5542922750824305,0.6760472805148147,0.18240701375439472,Accept
9,5,"[1, 4, 11, 76, 84]",0.5535480016049964,0.5542922750824305,-,-,Improved
10,5,"[1, 4, 24, 76, 84]",0.5580908393084558,0.5580908393084558,-,-,Improved
11,5,"[1, 24, 40, 76, 84]",0.5634392282060676,0.5634392282060676,-,-,Improved
12,5,"[1, 24, 40, 70, 84]",0.5861071858481185,0.5861071858481185,-,-,Improved
13,6,"[1, 24, 34, 40, 70, 84]",0.5873514942167792,0.5873514942167792,-,-,Improved
14,5,"[24, 34, 40, 70, 84]",0.592598916627414,0.592598916627414,-,-,Improved
15,5,"[24, 34, 40, 77, 84]",0.5719064566214825,0.592598916627414,0.09460370806241475,0.03800578488250672,Accept
16,5,"[24, 34, 40, 77, 84]",0.5572237923274193,0.592598916627414,0.18450125746617158,0.5406179028099303,Reject
17,5,"[24, 34, 38, 40, 77]",0.5720325011775789,0.592598916627414,-,-,Improved
18,5,"[24, 34, 38, 40, 77]",0.5620469592296017,0.592598916627414,0.3095120260301063,0.5028921376395016,Reject
19,5,"[24, 34, 38, 40, 77]",0.5467736518902322,0.592598916627414,0.049961293546307066,0.7880433124872022,Reject
20,6,"[4, 24, 34, 38, 40, 77]",0.5741172519669929,0.592598916627414,-,-,Improved
