Iteration,Feature Count,Feature Set,Metric,Best Metric,Acceptance Probability,Random Number,Outcome,Acc,Pre,Rec,F1,AUC
2,2,"[2, 23]",0.5979945305378305,0.5979945305378305,-,-,Improved,0.6071120954841885,0.1196716135143669,0.48341836734693877,0.19185016451531256,0.5518685190949593
3,2,"[2, 23]",0.5920692798541477,0.5979945305378305,0.5496298814678554,0.8949674255779665,Reject,0.6071120954841885,0.11652340019102196,0.46683673469387754,0.1864968152866242,0.5444628995544833
4,2,"[2, 23]",0.5466423579459131,0.5979945305378305,0.005302997934622018,0.5813596683726042,Reject,0.5351298141995816,0.0943089430894309,0.44387755102040816,0.15556548949485918,0.4943751094336686
5,2,"[23, 72]",0.6213916742631419,0.6213916742631419,-,-,Improved,0.6303679094376768,0.11829436038514443,0.4387755102040816,0.18634886240520043,0.5447997120678586
6,2,"[23, 72]",0.5758128228501975,0.6213916742631419,0.008696355831951746,0.03283469123206251,Reject,0.584963701242771,0.11114448783418444,0.4719387755102041,0.1799173352783856,0.5344849808369487
7,3,"[23, 50, 72]",0.6523852932239441,0.6523852932239441,-,-,Improved,0.6597760551248923,0.11859838274932614,0.39285714285714285,0.18219461697722567,0.5405658450224704
8,3,"[23, 50, 72]",0.6099969614099058,0.6523852932239441,0.011083391567318433,0.3463029928512277,Reject,0.6228620647225298,0.10440513354144988,0.38392857142857145,0.16416689391873468,0.51615058559172
9,4,"[23, 50, 72, 90]",0.6744150714068672,0.6744150714068672,-,-,Improved,0.6752799310938846,0.1273603856970671,0.40433673469387754,0.19370608004888482,0.5542724120153304
10,5,"[23, 39, 50, 72, 90]",0.6859617137648131,0.6859617137648131,-,-,Improved,0.6973052787006275,0.1321334503950834,0.38392857142857145,0.19660352710646634,0.5573462821734986
11,5,"[23, 39, 50, 72, 90]",0.672895776359769,0.6859617137648131,0.23923975359474642,0.8518828373155953,Reject,0.6878306878306878,0.12590695689287237,0.3762755102040816,0.18867924528301885,0.5486852152681855
12,4,"[23, 39, 50, 72]",0.6706168337891218,0.6859617137648131,0.18328272823687566,0.05168736691619347,Accept,0.6756490709979082,0.12265688671556642,0.38392857142857145,0.18591723285978998,0.5453620795315266
13,5,"[23, 39, 50, 60, 72]",0.6812518991188089,0.6859617137648131,-,-,Improved,0.6953365325458348,0.12764084507042253,0.36989795918367346,0.18979057591623036,0.5499905157487208
14,4,"[23, 50, 60, 72]",0.676997872986934,0.6859617137648131,0.6188267628211875,0.2529728699422229,Accept,0.6861080349452442,0.12642706131078224,0.38137755102040816,0.18990155604953954,0.5500105785879652
15,4,"[23, 45, 50, 72]",0.6815557581282286,0.6859617137648131,-,-,Improved,0.6915220868709241,0.12818299525248167,0.3788265306122449,0.19155111254434057,0.5518673031653081
16,5,"[23, 45, 50, 72, 78]",0.6817076876329383,0.6859617137648131,-,-,Improved,0.6885689676387351,0.12462397937258272,0.36989795918367346,0.18643522982963678,0.5462454524231046
17,5,"[23, 45, 50, 72, 78]",0.6671224551807962,0.6859617137648131,0.183444668355813,0.2340000083736552,Reject,0.6809400762889135,0.11851539434837621,0.35841836734693877,0.17812995245641838,0.5368967773000525
18,5,"[23, 45, 50, 72, 78]",0.6760862959586752,0.6859617137648131,0.5167438798675661,0.976843274076552,Reject,0.6969361387966039,0.1267229879946643,0.3635204081632653,0.18793273986152326,0.5480273973269002
19,5,"[1, 23, 45, 50, 78]",0.6914311759343664,0.6914311759343664,-,-,Improved,0.7013658176448874,0.12229885057471264,0.3392857142857143,0.17979046975329502,0.539655113713741
20,5,"[1, 23, 45, 50, 78]",0.6835308416894561,0.6914311759343664,0.3880197272938753,0.9629135229682941,Reject,0.6997662113941183,0.11983471074380166,0.33290816326530615,0.1762322754895341,0.535921601719811
21,5,"[1, 23, 45, 50, 78]",0.6666666666666666,0.6914311759343664,0.04991105881617403,0.6460729049660936,Reject,0.6966900455272548,0.12460920053595355,0.35586734693877553,0.18458484948726434,0.5444732349565183
22,5,"[1, 23, 25, 45, 50]",0.6900638103919782,0.6914311759343664,0.8460484754993215,0.03155997631380736,Accept,0.7123169681309216,0.11986301369863013,0.3125,0.17326732673267325,0.5337523832221163
23,5,"[1, 23, 25, 45, 50]",0.6657550896384078,0.6914311759343664,0.04968335893221498,0.4620445415036354,Reject,0.6829088224437062,0.12252631578947368,0.3711734693877551,0.1842355175688509,0.5436828806832552
24,5,"[1, 16, 23, 45, 50]",0.6912792464296567,0.6914311759343664,-,-,Improved,0.7093638488987326,0.1271266540642722,0.34311224489795916,0.18551724137931033,0.5457900867687399
25,5,"[1, 16, 23, 45, 50]",0.6709206927985415,0.6914311759343664,0.07689643458738499,0.15993296783251598,Reject,0.6933677863910422,0.12609457092819615,0.3673469387755102,0.1877444589308996,0.5477617166981187
26,5,"[1, 16, 23, 45, 50]",0.6595259799453054,0.6914311759343664,0.017570907188233138,0.5554087072375031,Reject,0.6703580657069029,0.11655200323755564,0.3673469387755102,0.17695852534562212,0.5350285013910235
27,6,"[1, 16, 23, 42, 45, 50]",0.6944697660285627,0.6944697660285627,-,-,Improved,0.7125630614002707,0.12475822050290135,0.32908163265306123,0.18092566619915848,0.5412941868835237
28,7,"[1, 10, 16, 23, 42, 45, 50]",0.7117897295654816,0.7117897295654816,-,-,Improved,0.723760305155654,0.13493253373313344,0.34438775510204084,0.19389587073608616,0.5543265208848077
29,7,"[1, 10, 16, 23, 42, 45, 50]",0.7051048313582498,0.7117897295654816,0.4160753759442644,0.809113500093887,Reject,0.7140396210163652,0.13016330451488953,0.34566326530612246,0.18911374738311235,0.5495169111495886
30,8,"[1, 10, 16, 23, 42, 45, 50, 71]",0.7134609541172896,0.7134609541172896,-,-,Improved,0.7231450719822813,0.12294238683127572,0.3048469387755102,0.1752199413489736,0.5363265062936519
31,8,"[1, 10, 16, 23, 42, 45, 50, 71]",0.6984199331510179,0.7134609541172896,0.13357932452424695,0.5221516020690609,Reject,0.7113325950535253,0.11753183153770813,0.30612244897959184,0.16985138004246284,0.530359331530515
32,9,"[1, 10, 16, 22, 23, 42, 45, 50, 71]",0.7298693406259495,0.7298693406259495,-,-,Improved,0.7297895902547066,0.1260593220338983,0.30357142857142855,0.1781437125748503,0.5394338145172273
33,9,"[1, 10, 16, 22, 23, 42, 45, 50, 71]",0.722120935885749,0.7298693406259495,0.34711931013675434,0.8819140473413146,Reject,0.7400024609326935,0.13787465940054497,0.3227040816326531,0.19320351279114165,0.5536304011595105
34,8,"[1, 10, 16, 22, 23, 45, 50, 71]",0.7281981160741416,0.7298693406259495,0.7941205654280433,0.3757639210494069,Accept,0.7368032484311554,0.13437668645439826,0.31760204081632654,0.18885096700796358,0.5495813554211008
35,8,"[1, 10, 16, 22, 23, 45, 50, 71]",0.7242479489516864,0.7298693406259495,0.5767368935017542,0.7369341074561712,Reject,0.7352036421803864,0.1306695464362851,0.3086734693877551,0.18361153262518967,0.5447085173440205
36,9,"[1, 10, 16, 22, 23, 45, 47, 50, 71]",0.7304770586447888,0.7304770586447888,-,-,Improved,0.7443090931463024,0.14015572858731926,0.32142857142857145,0.19519752130131682,0.5554439602342367
37,9,"[1, 10, 16, 22, 23, 45, 47, 71, 82]",0.7329079307201458,0.7329079307201458,-,-,Improved,0.7439399532422788,0.13871866295264623,0.31760204081632654,0.1930981000387747,0.5535306949281144
38,10,"[1, 10, 16, 22, 23, 45, 47, 71, 82, 85]",0.7312367061683379,0.7329079307201458,0.7866467440146533,0.6104585363539585,Accept,0.743078626799557,0.12485615650172613,0.2767857142857143,0.17208564631245046,0.534824833174452
39,9,"[1, 10, 16, 22, 23, 45, 47, 71, 85]",0.7233363719234275,0.7329079307201458,0.3179405425116002,0.21890750951725957,Accept,0.7323735695828719,0.11973756150902132,0.27933673469387754,0.16762342135476463,0.5300401499970818
40,10,"[1, 10, 16, 22, 23, 26, 45, 47, 71, 85]",0.731996353691887,0.7329079307201458,-,-,Improved,0.7376645748738772,0.12177328843995511,0.2767857142857143,0.16913484021823852,0.5318287825139589
41,11,"[1, 10, 16, 22, 23, 26, 45, 47, 55, 71, 85]",0.7307809176542085,0.7329079307201458,0.8353785319736279,0.39740829270216793,Accept,0.7349575489110373,0.12112831858407079,0.27933673469387754,0.16898148148148145,0.5314700832668625
42,12,"[1, 10, 16, 22, 23, 26, 45, 47, 55, 61, 71, 85]",0.7367061683378913,0.7367061683378913,-,-,Improved,0.7420942537221606,0.12037037037037036,0.2653061224489796,0.16560509554140126,0.5291531293165502
43,12,"[1, 16, 22, 23, 26, 45, 47, 55, 61, 71, 85, 87]",0.731084776663628,0.7367061683378913,0.42793190408104287,0.10427901118794036,Accept,0.7425864402608588,0.1237054085155351,0.274234693877551,0.17049960348929422,0.5334131388494388
44,12,"[1, 16, 22, 23, 26, 45, 47, 61, 66, 71, 85, 87]",0.7347310847766636,0.7367061683378913,-,-,Improved,0.7500922849760059,0.12776119402985076,0.2729591836734694,0.17405449369662465,0.5369970914962744
45,13,"[1, 16, 22, 23, 26, 45, 47, 61, 66, 71, 78, 85, 87]",0.7348830142813735,0.7367061683378913,-,-,Improved,0.7449243263196752,0.12287887653598596,0.26785714285714285,0.1684717208182912,0.5318585727904126
46,13,"[1, 16, 22, 23, 26, 45, 47, 61, 66, 71, 78, 85, 87]",0.7209054998480705,0.7367061683378913,0.11359556527116778,0.8523042736080566,Reject,0.7464008859357697,0.12985507246376812,0.2857142857142857,0.17855719410123555,0.5406509600980525
47,13,"[1, 16, 22, 23, 26, 45, 47, 61, 66, 71, 85, 87, 91]",0.7447584320875114,0.7447584320875114,-,-,Improved,0.7529223575735203,0.12591687041564792,0.2627551020408163,0.17024793388429751,0.5340059045543861
48,13,"[1, 16, 22, 23, 26, 45, 47, 61, 66, 71, 85, 87, 91]",0.7382254633849894,0.7447584320875114,0.35442109346083184,0.6642092599072286,Reject,0.743078626799557,0.12048894062863795,0.26403061224489793,0.16546762589928057,0.5291282027587011
49,12,"[1, 16, 22, 23, 26, 45, 61, 66, 71, 85, 87, 91]",0.7444545730780918,0.7447584320875114,0.9524359491529611,0.3990879821428538,Accept,0.7535375907468931,0.12584407612031923,0.2614795918367347,0.1699129714048902,0.5337767018151398
50,11,"[1, 16, 22, 23, 45, 61, 66, 71, 85, 87, 91]",0.7388331814038286,0.7447584320875114,0.4022601264646585,0.099578454856451,Accept,0.7455395594930478,0.12011834319526628,0.25892857142857145,0.16410670978173,0.5282113918017158
51,12,"[1, 16, 22, 23, 45, 52, 61, 66, 71, 85, 87, 91]",0.7443026435733819,0.7447584320875114,-,-,Improved,0.7477543989171896,0.11867469879518072,0.2512755102040816,0.16121112929623568,0.526019070640649
52,11,"[1, 16, 22, 23, 45, 52, 61, 66, 71, 85, 91]",0.7452142206016409,0.7452142206016409,-,-,Improved,0.7523071244001477,0.12598904443091904,0.26403061224489793,0.17058096415327564,0.5342351072936323
53,11,"[1, 16, 22, 23, 45, 52, 61, 71, 78, 85, 91]",0.7476450926769979,0.7476450926769979,-,-,Improved,0.7455395594930478,0.11785714285714285,0.25255102040816324,0.1607142857142857,0.5253630765938405
54,11,"[1, 16, 22, 23, 45, 52, 61, 71, 78, 85, 91]",0.7367061683378913,0.7476450926769979,0.15806014548413216,0.9501144480048374,Reject,0.7434477667035807,0.122460824143935,0.26913265306122447,0.1683286796968488,0.5316111311063987
55,11,"[1, 16, 22, 23, 45, 52, 61, 71, 78, 85, 91]",0.7316924946824673,0.7476450926769979,0.06604107105464653,0.5672888643741286,Reject,0.7368032484311554,0.11873944850872256,0.26913265306122447,0.16477938305349474,0.5279341598412483
56,11,"[1, 16, 22, 23, 45, 52, 61, 71, 78, 85, 91]",0.741871771498025,0.7476450926769979,0.3703145821379998,0.7841632647804929,Reject,0.7471391657438169,0.1268349970640047,0.2755102040816326,0.17370325693606756,0.5365022081282466
57,11,"[1, 16, 22, 23, 45, 52, 61, 71, 78, 85, 91]",0.7449103615922212,0.7476450926769979,0.6216909596624933,0.8006453083043364,Reject,0.7491079118986096,0.12447636146020347,0.2653061224489796,0.16945010183299392,0.5330343767630981
58,11,"[1, 16, 22, 23, 45, 52, 61, 71, 78, 85, 91]",0.7341233667578244,0.7476450926769979,0.09311746674324459,0.4153464792405711,Reject,0.7380337147779008,0.12367095691102406,0.28188775510204084,0.1719175418125243,0.5343117108616564
59,11,"[1, 16, 22, 23, 45, 52, 61, 71, 78, 85, 91]",0.7421756305074445,0.7476450926769979,0.3791111509856333,0.5593145358219409,Reject,0.7467700258397932,0.13264129181084197,0.29336734693877553,0.18268467037331218,0.5442732145289001
60,12,"[1, 16, 22, 23, 25, 45, 52, 61, 71, 78, 85, 91]",0.7461257976298997,0.7476450926769979,0.7617435731335485,0.5722912607736795,Accept,0.7477543989171896,0.12632821723730814,0.2729591836734694,0.17271993543179984,0.5357033423474252
61,12,"[1, 16, 22, 23, 25, 45, 52, 61, 71, 78, 85, 91]",0.7338195077484048,0.7476450926769979,0.10788997206725978,0.8900882366703571,Reject,0.7359419219884337,0.12082405345211582,0.2767857142857143,0.1682170542635659,0.5308754936674385
62,11,"[1, 16, 22, 23, 25, 52, 61, 71, 78, 85, 91]",0.7391370404132482,0.7476450926769979,0.2787928154002357,0.14299773621676004,Accept,0.7403716008367172,0.12157534246575342,0.27168367346938777,0.16798107255520506,0.5310481556779051
63,12,"[1, 16, 22, 23, 25, 52, 61, 71, 78, 85, 86, 91]",0.7400486174415072,0.7476450926769979,-,-,Improved,0.7420942537221606,0.11904761904761904,0.2614795918367347,0.1636073423782921,0.527444140191825
64,12,"[1, 16, 22, 23, 25, 52, 61, 71, 78, 85, 86, 91]",0.7356426618049225,0.7476450926769979,0.43972950360023577,0.44155936904530213,Reject,0.7402485542020426,0.12279704377487209,0.2755102040816326,0.16987809673613843,0.5326890527421646
65,12,"[1, 16, 22, 23, 25, 52, 61, 71, 78, 85, 86, 91]",0.7348830142813735,0.7476450926769979,0.37795516549855646,0.6385183023091715,Reject,0.73557278208441,0.11764705882352941,0.26785714285714285,0.16348773841961853,0.5266835761950156
66,11,"[1, 16, 22, 23, 25, 52, 61, 71, 85, 86, 91]",0.7400486174415072,0.7476450926769979,1.0,0.29332331864708716,Accept,0.738525901316599,0.11487650775416428,0.25510204081632654,0.15841584158415842,0.522621155230443
67,11,"[1, 16, 22, 23, 25, 52, 61, 71, 85, 86, 91]",0.7354907323002127,0.7476450926769979,0.4164692035717098,0.9495213708939185,Reject,0.7390180878552972,0.11602527283170591,0.2576530612244898,0.16,0.5240328495554561
68,12,"[1, 3, 16, 22, 23, 25, 52, 61, 71, 85, 86, 91]",0.7370100273473108,0.7476450926769979,0.5544046491692668,0.08405040637248296,Accept,0.751937984496124,0.12022194821208385,0.24872448979591838,0.16209476309226933,0.5271948746133345
69,11,"[1, 3, 16, 23, 25, 52, 61, 71, 85, 86, 91]",0.7379216043755698,0.7476450926769979,-,-,Improved,0.7436938599729297,0.11499703615886188,0.24744897959183673,0.15702144880615135,0.5220630435205541
70,12,"[1, 3, 16, 23, 25, 49, 52, 61, 71, 85, 86, 91]",0.7453661501063507,0.7476450926769979,-,-,Improved,0.7488618186292605,0.1108359133126935,0.22831632653061223,0.1492288453522301,0.5163779644364895
71,12,"[1, 3, 16, 23, 25, 49, 52, 61, 71, 85, 86, 91]",0.7382254633849894,0.7476450926769979,0.23964347440971764,0.593233174994845,Reject,0.738525901316599,0.1144335825186889,0.2538265306122449,0.15774871185097109,0.5220514921888679
72,12,"[1, 3, 16, 23, 25, 49, 52, 61, 71, 85, 86, 91]",0.736858097842601,0.7476450926769979,0.17918099382873096,0.48050409829021634,Reject,0.7403716008367172,0.11631944444444445,0.25637755102040816,0.16003184713375798,0.5242121991790043
73,12,"[1, 3, 16, 23, 25, 49, 52, 61, 71, 85, 86, 91]",0.731996353691887,0.7476450926769979,0.06527533552268036,0.3669476837551773,Reject,0.7376645748738772,0.11704545454545455,0.2627551020408163,0.1619496855345912,0.5255624890566332
74,13,"[1, 3, 16, 23, 25, 49, 52, 53, 61, 71, 85, 86, 91]",0.7515952597994531,0.7515952597994531,-,-,Improved,0.7523071244001477,0.11082963901203294,0.22321428571428573,0.1481168006771054,0.5160058899632303
75,13,"[1, 3, 16, 23, 25, 49, 52, 53, 61, 71, 85, 86, 91]",0.738529322394409,0.7515952597994531,0.06579125634991742,0.7866588311591124,Reject,0.7408637873754153,0.1111764705882353,0.24107142857142858,0.15217391304347827,0.5176486109219666
76,14,"[1, 3, 6, 16, 23, 25, 49, 52, 53, 61, 71, 85, 86, 91]",0.7520510483135825,0.7520510483135825,-,-,Improved,0.7569828965177803,0.1125569290826285,0.22066326530612246,0.14907367514002587,0.5174540621777787
77,14,"[1, 3, 6, 16, 23, 25, 49, 52, 53, 61, 71, 85, 86, 91]",0.7458219386204801,0.7520510483135825,0.26615131125220587,0.8272022580932913,Reject,0.7534145441122185,0.11875,0.2423469387755102,0.1593959731543624,0.5251636641310481
78,14,"[1, 2, 3, 6, 16, 23, 49, 52, 53, 61, 71, 85, 86, 91]",0.7484047402005469,0.7520510483135825,0.4571837929922453,0.29648979508347273,Accept,0.7483696320905623,0.1162507608034084,0.24362244897959184,0.15739596209311907,0.5229415526935275
79,14,"[1, 2, 3, 6, 16, 23, 49, 52, 53, 61, 63, 71, 86, 91]",0.7468854451534488,0.7520510483135825,0.7193505558160604,0.5756031158310131,Accept,0.7452934662236987,0.12087264150943396,0.2614795918367347,0.16532258064516128,0.5292145337639346
80,14,"[1, 2, 3, 6, 16, 23, 49, 52, 53, 61, 63, 71, 86, 91]",0.7424794895168642,0.7520510483135825,0.38101060399142866,0.5569277936087907,Reject,0.7370493417005045,0.12143256855064354,0.2767857142857143,0.16880591209646054,0.5314883222116302
