Iteration,Feature Count,Feature Set,Metric,Best Metric,Acceptance Probability,Random Number,Outcome
1,24,"[0, 2, 4, 5, 6, 13, 14, 15, 19, 22, 23, 24, 25, 26, 27, 28, 29, 30, 33, 34, 38, 40, 42, 43]",0.7742423037148993,0.7742423037148993,-,-,Improved
2,25,"[0, 2, 4, 5, 6, 12, 13, 14, 15, 19, 22, 23, 24, 25, 26, 27, 28, 29, 30, 33, 34, 38, 40, 42, 43]",0.7754355262111209,0.7754355262111209,-,-,Improved
3,24,"[0, 2, 5, 6, 12, 13, 14, 15, 19, 22, 23, 24, 25, 26, 27, 28, 29, 30, 33, 34, 38, 40, 42, 43]",0.7756741707103652,0.7756741707103652,-,-,Improved
4,23,"[0, 2, 5, 6, 12, 13, 14, 15, 19, 22, 23, 24, 25, 26, 27, 29, 30, 33, 34, 38, 40, 42, 43]",0.7714581178903827,0.7756741707103652,0.9931583733142696,0.38744265613446405,Accept
5,23,"[0, 2, 5, 6, 12, 13, 14, 15, 17, 19, 22, 23, 24, 25, 26, 27, 29, 30, 34, 38, 40, 42, 43]",0.7790947418662,0.7790947418662,-,-,Improved
6,22,"[0, 2, 5, 6, 12, 13, 14, 17, 19, 22, 23, 24, 25, 26, 27, 29, 30, 34, 38, 40, 42, 43]",0.7802084161960067,0.7802084161960067,-,-,Improved
7,23,"[0, 2, 5, 6, 8, 12, 13, 14, 17, 19, 22, 23, 24, 25, 26, 27, 29, 30, 34, 38, 40, 42, 43]",0.7797311271975181,0.7802084161960067,0.9987352837601683,0.9081047179497144,Accept
8,24,"[0, 2, 5, 6, 8, 12, 13, 14, 17, 19, 22, 23, 24, 25, 26, 27, 29, 30, 34, 38, 39, 40, 42, 43]",0.7849017580144778,0.7849017580144778,-,-,Improved
9,23,"[0, 2, 5, 6, 8, 12, 13, 14, 17, 19, 22, 23, 24, 26, 27, 29, 30, 34, 38, 39, 40, 42, 43]",0.781799379524302,0.7849017580144778,0.9886792958641125,0.9538822658048884,Accept
10,22,"[0, 2, 5, 6, 8, 12, 13, 14, 17, 22, 23, 24, 26, 27, 29, 30, 34, 38, 39, 40, 42, 43]",0.7825153130220348,0.7849017580144778,-,-,Improved
11,22,"[0, 2, 5, 6, 8, 12, 13, 14, 17, 22, 23, 24, 26, 29, 30, 34, 35, 38, 39, 40, 42, 43]",0.7789356455333705,0.7849017580144778,0.9819818111496432,0.9793781878390313,Accept
12,21,"[0, 2, 5, 6, 8, 12, 13, 14, 17, 22, 23, 24, 26, 29, 30, 34, 35, 38, 40, 42, 43]",0.7765492005409276,0.7849017580144778,0.98584042439382,0.6420973860989629,Accept
13,21,"[0, 2, 5, 6, 8, 12, 13, 14, 17, 19, 22, 23, 24, 26, 29, 34, 35, 38, 40, 42, 43]",0.7740036592156551,0.7849017580144778,0.9822633009203134,0.8006586866472741,Accept
14,21,"[0, 2, 5, 6, 8, 12, 13, 14, 15, 17, 19, 22, 23, 24, 26, 29, 34, 35, 38, 42, 43]",0.7758332670431947,0.7849017580144778,-,-,Improved
15,21,"[0, 2, 3, 5, 6, 8, 12, 13, 14, 15, 17, 19, 23, 24, 26, 29, 34, 35, 38, 42, 43]",0.7798106753639329,0.7849017580144778,-,-,Improved
16,22,"[0, 2, 3, 5, 6, 8, 12, 13, 14, 15, 17, 19, 23, 24, 26, 27, 29, 34, 35, 38, 42, 43]",0.7786174528677114,0.7849017580144778,0.986433282498539,0.5697053717603939,Accept
17,23,"[0, 2, 3, 5, 6, 7, 8, 12, 13, 14, 15, 17, 19, 23, 24, 26, 27, 29, 34, 35, 38, 42, 43]",0.78243576485562,0.7849017580144778,-,-,Improved
18,22,"[0, 2, 3, 5, 6, 7, 8, 12, 13, 14, 15, 17, 19, 23, 24, 26, 27, 29, 35, 38, 42, 43]",0.7784583565348818,0.7849017580144778,0.9389246892898382,0.594189169892263,Accept
19,23,"[0, 2, 3, 5, 6, 7, 8, 10, 12, 13, 14, 15, 17, 19, 23, 24, 26, 27, 29, 35, 38, 42, 43]",0.778776549200541,0.7849017580144778,-,-,Improved
20,22,"[0, 2, 3, 5, 6, 7, 8, 10, 12, 13, 14, 17, 19, 23, 24, 26, 27, 29, 35, 38, 42, 43]",0.7796515790311034,0.7849017580144778,-,-,Improved
21,23,"[0, 2, 3, 5, 6, 7, 8, 10, 12, 13, 14, 17, 19, 23, 24, 26, 27, 29, 34, 35, 38, 42, 43]",0.7812425423593986,0.7849017580144778,-,-,Improved
22,23,"[0, 2, 3, 5, 6, 7, 8, 12, 13, 14, 17, 19, 23, 24, 26, 27, 29, 34, 35, 38, 41, 42, 43]",0.7786970010341262,0.7849017580144778,0.9256445412777983,0.899567862686803,Accept
23,24,"[0, 2, 3, 5, 6, 7, 8, 12, 13, 14, 17, 19, 23, 24, 26, 27, 28, 29, 34, 35, 38, 41, 42, 43]",0.778060615702808,0.7849017580144778,0.9775312728743647,0.12378008067085944,Accept
24,24,"[0, 2, 3, 5, 6, 7, 8, 12, 13, 14, 17, 19, 23, 24, 27, 28, 29, 32, 34, 35, 38, 41, 42, 43]",0.7795720308646885,0.7849017580144778,-,-,Improved
25,25,"[0, 2, 3, 5, 6, 7, 8, 12, 13, 14, 17, 19, 23, 24, 27, 28, 29, 32, 34, 35, 38, 39, 41, 42, 43]",0.7828335056876939,0.7849017580144778,-,-,Improved
26,25,"[0, 2, 3, 5, 6, 7, 8, 12, 13, 14, 17, 19, 21, 23, 24, 27, 28, 29, 32, 34, 38, 39, 41, 42, 43]",0.7826744093548643,0.7849017580144778,0.9907916937725572,0.2788460646002193,Accept
27,25,"[0, 2, 3, 5, 6, 7, 8, 13, 14, 17, 19, 21, 23, 24, 27, 28, 29, 31, 32, 34, 38, 39, 41, 42, 43]",0.7837880836846711,0.7849017580144778,-,-,Improved
28,26,"[0, 2, 3, 5, 6, 7, 8, 13, 14, 17, 19, 21, 23, 24, 27, 28, 29, 31, 32, 34, 38, 39, 41, 42, 43, 44]",0.7828335056876939,0.7849017580144778,0.9260522496552382,0.5430974941219414,Accept
29,25,"[0, 2, 3, 5, 6, 7, 8, 13, 14, 17, 21, 23, 24, 27, 28, 29, 31, 32, 34, 38, 39, 41, 42, 43, 44]",0.7840267281839154,0.7849017580144778,-,-,Improved
