Iteration,Feature Count,Feature Set,Metric,Best Metric,Acceptance Probability,Random Number,Outcome,Acc,Pre,Rec,F1,AUC
2,2,"[80, 88]",0.8789121847462777,0.8796718322698268,0.9268488752238411,0.29324553852519286,Accept,0.9037775316845085,0.75,0.003826530612244898,0.0076142131979695426,0.5018451732456567
3,2,"[80, 88]",0.8746581586144029,0.8796718322698268,0.6507045309706067,0.7018479298612611,Reject,0.8999630860095976,0.2542372881355932,0.01913265306122449,0.03558718861209965,0.5065702758701193
4,2,"[63, 80]",0.8796718322698268,0.8796718322698268,-,-,Improved,0.9035314384151594,0.0,0.0,0.0,0.5
5,2,"[58, 80]",0.8790641142509875,0.8796718322698268,0.9392890346729451,0.4493838228383791,Accept,0.9027931586071121,0.25,0.003826530612244898,0.007537688442211055,0.5013004367619307
6,3,"[58, 80, 90]",0.8783044667274384,0.8796718322698268,0.9239652155885075,0.8146098380117974,Accept,0.9027931586071121,0.25,0.003826530612244898,0.007537688442211055,0.5013004367619307
7,4,"[30, 58, 80, 90]",0.8781525372227287,0.8796718322698268,0.9841510082817803,0.6375144106362473,Accept,0.9021779254337394,0.21052631578947367,0.00510204081632653,0.0099626400996264,0.501529639501177
8,4,"[30, 58, 80, 90]",0.876177453661501,0.8796718322698268,0.810758589421409,0.8119350879779288,Reject,0.8981173864894795,0.19444444444444445,0.017857142857142856,0.03271028037383177,0.5049792319215579
9,5,"[30, 36, 58, 80, 90]",0.8734427225767244,0.8796718322698268,0.6033188260320588,0.33525345792038574,Accept,0.8981173864894795,0.21052631578947367,0.02040816326530612,0.03720930232558139,0.5061185580047081
10,6,"[24, 30, 36, 58, 80, 90]",0.8749620176238225,0.8796718322698268,-,-,Improved,0.8987326196628522,0.2857142857142857,0.03316326530612245,0.059428571428571435,0.5121556487227875
11,5,"[24, 30, 36, 58, 90]",0.8743542996049833,0.8796718322698268,0.9356394559583672,0.1266168170279962,Accept,0.8979943398548049,0.27722772277227725,0.03571428571428571,0.06327683615819209,0.5128864224431432
12,6,"[24, 30, 36, 58, 79, 90]",0.8776967487085993,0.8796718322698268,-,-,Improved,0.9016857388950412,0.3469387755102041,0.021683673469387755,0.04081632653061224,0.5086628907997899
13,7,"[24, 30, 36, 52, 58, 79, 90]",0.8787602552415679,0.8796718322698268,-,-,Improved,0.902300972068414,0.38095238095238093,0.02040816326530612,0.038740920096852295,0.5084336880605436
14,7,"[24, 30, 36, 52, 58, 79, 90]",0.8673655423883319,0.8796718322698268,0.2765049518569331,0.7693686636507773,Reject,0.8959025470653378,0.33152173913043476,0.0778061224489796,0.12603305785123967,0.5305277377872026
15,7,"[24, 30, 36, 52, 58, 79, 90]",0.8702522029778182,0.8796718322698268,0.3792516245756015,0.8620004428383039,Reject,0.8908576350436815,0.18787878787878787,0.039540816326530615,0.06533192834562698,0.5106460720608548
16,8,"[4, 24, 30, 36, 52, 58, 79, 90]",0.8710118505013673,0.8796718322698268,0.4098733773348969,0.17536675431970095,Accept,0.8947951273532669,0.19658119658119658,0.029336734693877552,0.051054384017758046,0.5082677136631583
17,8,"[4, 24, 30, 36, 52, 58, 79, 90]",0.8658462473412337,0.8796718322698268,0.5484765373189529,0.8705579064939829,Reject,0.8901193552356343,0.23414634146341465,0.061224489795918366,0.09706774519716886,0.5199217914048365
18,8,"[4, 24, 30, 36, 52, 79, 85, 90]",0.86888483743543,0.8796718322698268,0.7789500127349588,0.5911111821521449,Accept,0.8941798941798942,0.24324324324324326,0.04591836734693878,0.07725321888412018,0.5153328729013054
19,7,"[4, 30, 36, 52, 79, 85, 90]",0.8673655423883319,0.8796718322698268,0.8350723230187886,0.7657080119325331,Accept,0.8919650547557524,0.19480519480519481,0.03826530612244898,0.06396588486140725,0.5106892375634715
20,8,"[4, 30, 36, 41, 52, 79, 85, 90]",0.86888483743543,0.8796718322698268,-,-,Improved,0.8944259874492433,0.22794117647058823,0.039540816326530615,0.06739130434782609,0.5126207418143615
21,9,"[1, 4, 30, 36, 41, 52, 79, 85, 90]",0.8663020358553631,0.8796718322698268,0.7315248981634408,0.080232543085765,Accept,0.8919650547557524,0.2388888888888889,0.0548469387755102,0.08921161825726141,0.5180948571039473
