Iteration,Feature Count,Feature Set,Metric,Best Metric,Acceptance Probability,Random Number,Outcome,Acc,Pre,Rec,F1,AUC
2,2,"[17, 63]",0.4957459738681252,0.4957459738681252,-,-,Improved,0.49440137812230833,0.10520066492519592,0.5650510204081632,0.1773773773773774,0.5259546263691367
3,2,"[17, 40]",0.5153448799756912,0.5153448799756912,-,-,Improved,0.525655223329642,0.10292216188259633,0.5076530612244898,0.17114599010965387,0.5176151728565592
4,3,"[1, 17, 40]",0.6432695229413552,0.6432695229413552,-,-,Improved,0.656084656084656,0.12042280105700265,0.40688775510204084,0.18584328575589867,0.5447893766658237
5,4,"[1, 3, 17, 40]",0.6718322698268003,0.6718322698268003,-,-,Improved,0.6870924080226406,0.12843261512463033,0.3877551020408163,0.19295461758172008,0.5534036302795665
6,4,"[1, 3, 17, 40]",0.6461561835308417,0.6718322698268003,0.06904941654961098,0.5497808873577269,Reject,0.6575612157007505,0.11601997694967345,0.3852040816326531,0.17832890463537052,0.5359222096846364
7,4,"[3, 17, 40, 72]",0.6716803403220906,0.6718322698268003,0.9841510082817803,0.041332871244603386,Accept,0.6848775685984988,0.12239694007649808,0.3673469387755102,0.18361491871214536,0.5430633645259819
8,4,"[3, 17, 40, 72]",0.6127316924946825,0.6718322698268003,0.0019088132272523262,0.6670850539455929,Reject,0.6175710594315246,0.0993103448275862,0.3673469387755102,0.15635179153094464,0.5058170074512169
9,4,"[3, 17, 40, 72]",0.6312670920692799,0.6718322698268003,0.013090330892120455,0.46575899169016466,Reject,0.6487018580041836,0.11056788266265513,0.375,0.17078129538193434,0.526462276998502
10,5,"[3, 17, 40, 51, 72]",0.6730477058644789,0.6730477058644789,-,-,Improved,0.6873385012919897,0.11953226504980512,0.3520408163265306,0.1784675072744908,0.5375892492363962
11,6,"[3, 17, 34, 40, 51, 72]",0.6859617137648131,0.6859617137648131,-,-,Improved,0.7059185431278454,0.1244153414405987,0.3392857142857143,0.18206707734428476,0.5421745199509738
12,6,"[17, 34, 40, 49, 51, 72]",0.6938620480097235,0.6938620480097235,-,-,Improved,0.697182232065953,0.12516763522574878,0.35714285714285715,0.1853690830850712,0.5453152662399565
13,7,"[17, 29, 34, 40, 49, 51, 72]",0.7209054998480705,0.7209054998480705,-,-,Improved,0.7247446782330503,0.13801694070752366,0.35331632653061223,0.19849516302400574,0.5588588986595591
14,8,"[17, 29, 34, 40, 49, 51, 53, 72]",0.723792160437557,0.723792160437557,-,-,Improved,0.7299126368893811,0.13120752744380554,0.3201530612244898,0.1861327400815721,0.546907526118169
15,8,"[17, 29, 34, 40, 49, 51, 53, 72]",0.7128532360984503,0.723792160437557,0.2874888508524518,0.8234954517323949,Reject,0.7155161806324597,0.1298449612403101,0.34183673469387754,0.18820224719101125,0.5486250267504523
16,9,"[17, 29, 34, 39, 40, 49, 51, 53, 72]",0.7292616226071102,0.7292616226071102,-,-,Improved,0.7328657561215701,0.13209549071618037,0.31760204081632654,0.18658673660547023,0.5474024094861967
17,9,"[17, 29, 34, 39, 40, 49, 51, 53, 72]",0.7192342752962625,0.7292616226071102,0.3116447047568384,0.718082762855898,Reject,0.7327427094868956,0.1400414937759336,0.34438775510204084,0.19911504424778761,0.5592972412988074
18,10,"[17, 29, 34, 39, 40, 49, 51, 53, 72, 75]",0.7183226982680037,0.7292616226071102,0.2767255845892673,0.13286564700988734,Accept,0.7211763258274886,0.11526479750778816,0.28316326530612246,0.16383763837638377,0.5255527616194238
19,11,"[13, 17, 29, 34, 39, 40, 49, 51, 53, 72, 75]",0.7285019750835612,0.7292616226071102,-,-,Improved,0.7256060046757721,0.12265135699373696,0.2997448979591837,0.17407407407407408,0.5354096953366666
