Iteration,Feature Count,Feature Set,Metric,Best Metric,Acceptance Probability,Random Number,Outcome,Acc,Pre,Rec,F1,AUC
2,2,"[2, 22]",0.5742935278030994,0.5742935278030994,-,-,Improved,0.5817644887412329,0.1112102289622361,0.4770408163265306,0.1803713527851459,0.5349932394311394
3,3,"[2, 22, 49]",0.5996657550896384,0.5996657550896384,-,-,Improved,0.5923464993232435,0.09767737830098631,0.39158163265306123,0.15635345047109753,0.5026817328456645
4,3,"[2, 22, 92]",0.6140990580370708,0.6140990580370708,-,-,Improved,0.6066199089454903,0.10247116968698518,0.39668367346938777,0.16286986122021474,0.5128590640259917
5,3,"[2, 22, 92]",0.5502886660589487,0.6140990580370708,0.0013929050087046699,0.3900112830230591,Reject,0.5351298141995816,0.09143013100436681,0.4272959183673469,0.15062949640287768,0.4869694898931928
6,4,"[2, 19, 22, 92]",0.6253418413855971,0.6253418413855971,-,-,Improved,0.6282761166482097,0.10740610740610741,0.3903061224489796,0.1684558216350124,0.5219949514600883
7,4,"[2, 19, 22, 92]",0.6027043451838348,0.6253418413855971,0.09251230923716276,0.5009755477405295,Reject,0.611541774332472,0.11060059074499508,0.4298469387755102,0.17593317671626207,0.5303939855255734
8,4,"[2, 19, 22, 92]",0.6150106350653297,0.6253418413855971,0.3337588321379146,0.41394948802933407,Reject,0.612895287313892,0.11176857330703485,0.4336734693877551,0.17773131207527446,0.5328519873154218
9,5,"[2, 19, 22, 59, 92]",0.6314190215739897,0.6314190215739897,-,-,Improved,0.6343054017472622,0.11260623229461757,0.40561224489795916,0.1762749445676275,0.5321674189218109
10,6,"[2, 9, 19, 22, 59, 92]",0.6393193558189,0.6393193558189,-,-,Improved,0.6331979820351913,0.10949164592961251,0.39285714285714285,0.1712538226299694,0.5258579599618683
11,5,"[9, 19, 22, 59, 92]",0.632786387116378,0.6393193558189,0.4891214098715669,0.3791109127291066,Accept,0.6359050079980313,0.11667254141698978,0.4221938775510204,0.18282242474454571,0.5404582352483415
12,6,"[9, 19, 22, 59, 87, 92]",0.6259495594044363,0.6393193558189,0.46955645507023147,0.3761405224675448,Accept,0.6330749354005168,0.11573426573426573,0.4221938775510204,0.18166849615806804,0.5388921178576291
13,6,"[9, 19, 22, 59, 87, 92]",0.6058948647827408,0.6393193558189,0.1064689954049609,0.4499918951022168,Reject,0.606989048849514,0.10620915032679738,0.4145408163265306,0.16909469302809574,0.5210386227894399
14,6,"[9, 19, 22, 59, 60, 87]",0.640079003342449,0.640079003342449,-,-,Improved,0.655838562815307,0.12791127541589647,0.4413265306122449,0.19833763255947265,0.5600340946674189
15,7,"[9, 19, 22, 59, 60, 71, 87]",0.7079914919477363,0.7079914919477363,-,-,Improved,0.7260981912144703,0.13732394366197184,0.3482142857142857,0.19696969696969696,0.5573292591583822
16,7,"[9, 19, 22, 59, 60, 71, 87]",0.6961409905803707,0.7079914919477363,0.25561239522544577,0.6609786663789835,Reject,0.7037037037037037,0.12888482632541134,0.3596938775510204,0.18977119784656796,0.5500634715277912
17,7,"[9, 19, 22, 40, 59, 71, 87]",0.7101185050136737,0.7101185050136737,-,-,Improved,0.7274517041958902,0.13881877839475013,0.350765306122449,0.1989150090415913,0.5592175979066555
18,7,"[9, 19, 22, 40, 59, 71, 87]",0.6886964448495898,0.7101185050136737,0.08078794709860808,0.08571746080696896,Reject,0.7092408022640581,0.13867276887871854,0.3864795918367347,0.20410912765240824,0.5650905381218264
19,7,"[9, 19, 22, 40, 59, 71, 87]",0.6944697660285627,0.7101185050136737,0.15622773165505413,0.9903409518944746,Reject,0.7107173618801526,0.1263710061993324,0.3380102040816326,0.18396390142311697,0.5442604472675628
20,7,"[9, 19, 22, 40, 46, 71, 87]",0.7092069279854147,0.7101185050136737,0.8965201488235595,0.17278204671640984,Accept,0.7263442844838194,0.13302752293577982,0.33290816326530615,0.19009468317552808,0.5506294867804129
21,7,"[9, 19, 22, 40, 46, 71, 87]",0.686113643269523,0.7101185050136737,0.06110103036546769,0.8284008933337794,Reject,0.6857388950412207,0.12468193384223919,0.375,0.18714194780394652,0.5469579871986926
22,7,"[9, 19, 22, 40, 46, 71, 87]",0.6962929200850805,0.7101185050136737,0.20619989804322625,0.854555539106636,Reject,0.7155161806324597,0.13304514889529298,0.35331632653061223,0.19330076762037682,0.5537519941246279
23,8,"[6, 9, 19, 22, 40, 46, 71, 87]",0.7151321786690975,0.7151321786690975,-,-,Improved,0.722160698904885,0.12321063394683027,0.30739795918367346,0.17591240875912412,0.536921095893076
24,8,"[6, 9, 19, 22, 40, 46, 71, 87]",0.6938620480097235,0.7151321786690975,0.07041435292319427,0.5012745819054719,Reject,0.6979205118740003,0.1261744966442953,0.3596938775510204,0.18681682676382907,0.546863144685901
25,9,"[6, 9, 19, 22, 40, 46, 71, 83, 87]",0.7174111212397447,0.7174111212397447,-,-,Improved,0.7169927402485542,0.12475247524752475,0.32142857142857145,0.1797432239657632,0.5403275228108402
26,10,"[6, 9, 19, 22, 39, 40, 46, 71, 83, 87]",0.7224247948951686,0.7224247948951686,-,-,Improved,0.7244985849637012,0.12207792207792208,0.2997448979591837,0.17349575489110375,0.5347968667924748
27,10,"[6, 9, 19, 22, 39, 40, 46, 71, 83, 87]",0.718930416286843,0.7224247948951686,0.6381052271056895,0.9464660688225082,Reject,0.7304048234280792,0.12359550561797752,0.29464285714285715,0.17414248021108178,0.5357866335285306
28,10,"[6, 9, 19, 22, 34, 39, 40, 46, 71, 83]",0.731996353691887,0.731996353691887,-,-,Improved,0.7312661498708011,0.12203023758099352,0.288265306122449,0.1714719271623672,0.5334149627439154
29,10,"[6, 9, 19, 22, 34, 39, 40, 46, 71, 83]",0.722120935885749,0.731996353691887,0.2737872394575219,0.9853754968405223,Reject,0.7281899840039375,0.12480252764612954,0.3022959183673469,0.1766679090570257,0.5379789546895976
30,11,"[6, 9, 19, 22, 34, 39, 40, 46, 56, 71, 83]",0.7326040717107262,0.7326040717107262,-,-,Improved,0.733973175833641,0.1267605633802817,0.29846938775510207,0.1779467680608365,0.5394702924067626
31,11,"[6, 9, 19, 22, 34, 39, 40, 46, 56, 71, 83]",0.7186265572774233,0.7326040717107262,0.1540123899236101,0.47707968159474434,Reject,0.7313891965054756,0.13164823591363875,0.31887755102040816,0.18635855385762207,0.5471549678021828
32,11,"[6, 9, 19, 22, 34, 39, 40, 46, 56, 71, 83]",0.7286539045882711,0.7326040717107262,0.5862420066134306,0.7580694880794161,Reject,0.7364341085271318,0.11681715575620767,0.26403061224489793,0.1619718309859155,0.5254512314935507
33,11,"[6, 9, 19, 22, 34, 39, 40, 46, 56, 71, 83]",0.7253114554846551,0.7326040717107262,0.3694106691328235,0.9676325875124941,Reject,0.7376645748738772,0.13169398907103824,0.30739795918367346,0.18439173680183626,0.5455006955117605
34,12,"[6, 9, 16, 19, 22, 34, 39, 40, 46, 56, 71, 83]",0.7350349437860833,0.7350349437860833,-,-,Improved,0.7436938599729297,0.12736660929432014,0.28316326530612246,0.17570241392956074,0.538013608684656
35,12,"[6, 9, 16, 19, 22, 34, 39, 40, 46, 56, 71, 83]",0.7243998784563962,0.7350349437860833,0.2272367211971814,0.787432157980971,Reject,0.7393872277593208,0.12485939257592801,0.28316326530612246,0.17330210772833723,0.5356303865683547
36,12,"[6, 9, 16, 19, 22, 34, 39, 40, 46, 56, 71, 83]",0.7136128836219994,0.7350349437860833,0.049053564382521474,0.9801926914759365,Reject,0.716500553709856,0.12413452027695351,0.3201530612244898,0.1789023521026372,0.5394854915274022
37,11,"[6, 9, 16, 19, 22, 34, 39, 40, 46, 56, 71]",0.7347310847766636,0.7350349437860833,0.957723965105067,0.8290462431827045,Accept,0.7448012796850007,0.12759815242494227,0.28188775510204084,0.17567567567567569,0.5380567741872726
38,10,"[6, 16, 19, 22, 34, 39, 40, 46, 56, 71]",0.7288058340929808,0.7350349437860833,0.42706289413822707,0.12010460415637003,Accept,0.7425864402608588,0.1275626423690205,0.2857142857142857,0.1763779527559055,0.5385401062236143
39,11,"[6, 16, 19, 22, 34, 39, 40, 46, 53, 56, 71]",0.7354907323002127,0.7354907323002127,-,-,Improved,0.7466469792051187,0.12784588441331,0.27933673469387754,0.1754104925911093,0.5379388290111087
40,12,"[6, 16, 19, 22, 25, 34, 39, 40, 46, 53, 56, 71]",0.736098450319052,0.736098450319052,-,-,Improved,0.7559985234403839,0.13863773357444242,0.29336734693877553,0.18829308227589028,0.5493801190638314
41,12,"[6, 16, 19, 22, 25, 34, 39, 40, 46, 53, 56, 71]",0.7341233667578244,0.736098450319052,0.7465525432318206,0.8947037269129696,Reject,0.7507075181493786,0.13297872340425532,0.2869897959183674,0.1817447495961228,0.5436038452559289
42,12,"[6, 16, 19, 22, 25, 34, 39, 40, 46, 53, 56, 71]",0.7315405651777576,0.736098450319052,0.5059451629394449,0.9401323441212557,Reject,0.7507075181493786,0.14186851211072665,0.3137755102040816,0.1953931691818904,0.5555667691290053
43,12,"[6, 16, 19, 22, 25, 39, 40, 46, 53, 54, 56, 71]",0.7394408994226679,0.7394408994226679,-,-,Improved,0.7488618186292605,0.13649508386350492,0.3010204081632653,0.1878233187425388,0.5488487578062684
44,12,"[6, 16, 19, 22, 25, 39, 40, 46, 53, 54, 56, 71]",0.719690063810392,0.7394408994226679,0.0491753411898244,0.6533696067486935,Reject,0.7334809892949428,0.1304812834224599,0.3112244897959184,0.18387339864355692,0.5448945545806503
45,12,"[1, 16, 19, 22, 25, 39, 40, 46, 53, 54, 56, 71]",0.7339714372531145,0.7394408994226679,0.4305813466653832,0.22668811576991676,Accept,0.7513227513227513,0.14227877385772122,0.3137755102040816,0.19578193394349386,0.5559072294313341
46,12,"[1, 16, 19, 22, 25, 39, 40, 46, 53, 54, 56, 71]",0.7134609541172896,0.7394408994226679,0.0411003479787108,0.9075541880021648,Reject,0.7196997662113941,0.12158054711246201,0.30612244897959184,0.1740391588107324,0.534989591642186
47,12,"[1, 16, 21, 22, 25, 39, 40, 46, 53, 54, 56, 71]",0.7243998784563962,0.7394408994226679,0.22212315723127402,0.16421147340047482,Accept,0.7393872277593208,0.13391877058177826,0.3112244897959184,0.18726016884113583,0.5481629734830062
48,12,"[1, 16, 21, 22, 25, 39, 40, 46, 53, 54, 56, 71]",0.7184746277727134,0.7394408994226679,0.39032351692181044,0.5305634686297176,Reject,0.7365571551618063,0.12903225806451613,0.3010204081632653,0.18063528511289706,0.5420395517596933
