Iteration,Feature Count,Feature Set,Metric,Best Metric,Acceptance Probability,Random Number,Outcome,Acc,Pre,Rec,F1,AUC
2,2,"[46, 52]",0.6386508659981768,0.6386508659981768,-,-,Improved,0.6402362495385752,0.10316178683819197,0.3545918367346939,0.15977457116543115,0.5126629345732573
3,3,"[27, 46, 52]",0.6977210574293528,0.6977210574293528,-,-,Improved,0.7115048603420696,0.13010807729747845,0.3497448979591836,0.1896255249213345,0.5499371364370343
4,3,"[27, 46, 52]",0.6837435429960499,0.6977210574293528,0.24023649154510995,0.8929859954639964,Reject,0.6963209056232312,0.11213615513515052,0.3104591836734694,0.16473256104978748,0.5239889544950487
5,4,"[18, 27, 46, 52]",0.7116074141598298,0.7116074141598298,-,-,Improved,0.7266642057339732,0.13367351270695094,0.3336734693877551,0.1907525378478305,0.5511483239625689
6,5,"[18, 27, 46, 52, 57]",0.7300212701306593,0.7300212701306593,-,-,Improved,0.7407899593946106,0.13357402998728557,0.30765306122448977,0.18622913179558553,0.5473441664559056
7,5,"[18, 27, 46, 52, 57]",0.7190823457915527,0.7300212701306593,0.3165522512351981,0.605910859638314,Reject,0.7331856773717239,0.13485265165882743,0.3260204081632653,0.19068966226753087,0.5513392249178031
8,6,"[18, 27, 46, 52, 57, 79]",0.7340018231540566,0.7340018231540566,-,-,Improved,0.7477051802633198,0.13657265199738655,0.3038265306122449,0.18834237966364992,0.5494619511293555
9,6,"[18, 27, 46, 52, 57, 79]",0.72120935885749,0.7340018231540566,0.25347609171529506,0.7583156241618787,Reject,0.7343915343915344,0.1349202091266416,0.324234693877551,0.19047207099774183,0.5512089988521623
10,7,"[18, 27, 46, 52, 57, 59, 79]",0.7414767547857795,0.7414767547857795,-,-,Improved,0.7578688322874368,0.14133890188210524,0.2982142857142857,0.1917043066162029,0.5525798379408962
11,7,"[18, 27, 46, 52, 57, 59, 79]",0.7307505317532665,0.7414767547857795,0.30907616480763483,0.9500177436912234,Reject,0.7483204134366925,0.14148630548132918,0.3170918367346939,0.1955844202845804,0.555726907064065
12,7,"[27, 46, 52, 57, 59, 79, 91]",0.7462473412336676,0.7462473412336676,-,-,Improved,0.7571797711332595,0.1328261387098278,0.27474489795918366,0.1790034727995901,0.5417167224373067
13,8,"[27, 46, 52, 57, 59, 73, 79, 91]",0.7452142206016408,0.7462473412336676,0.8910195919358315,0.6805640398285996,Accept,0.7494770518026332,0.1306187585912951,0.2823979591836735,0.17857695891439895,0.5408721377016011
14,7,"[46, 52, 57, 59, 73, 79, 91]",0.7438468550592525,0.7462473412336676,0.8570464287961905,0.8008001300507225,Accept,0.7520118124769287,0.12367415406767743,0.2579081632653061,0.1671588799904685,0.5313373037489544
15,7,"[46, 52, 57, 59, 73, 79, 91]",0.7419021573989669,0.7462473412336676,0.8012256528841727,0.8520513906893016,Reject,0.7503629875722899,0.1224273809723039,0.2573979591836734,0.16592547307631456,0.5301970049220832
16,7,"[28, 46, 52, 59, 73, 79, 91]",0.7298085688240656,0.7462473412336676,0.1987066567421475,0.19830717277982257,Accept,0.7378614494893565,0.12876197355983182,0.2979591836734694,0.17971525560314655,0.5413941363008502
17,8,"[28, 46, 47, 52, 59, 73, 79, 91]",0.7371619568520207,0.7462473412336676,-,-,Improved,0.7449489356466101,0.131393990994085,0.2931122448979592,0.1813410346672703,0.5431515194256921
18,8,"[28, 46, 47, 55, 59, 73, 79, 91]",0.7366453965360072,0.7462473412336676,0.941135875358573,0.008661551185432326,Accept,0.7472868217054264,0.13441072460991774,0.2979591836734694,0.185052800988236,0.5466099881325266
19,8,"[28, 46, 47, 59, 73, 79, 90, 91]",0.737678517168034,0.7462473412336676,-,-,Improved,0.7450473729543496,0.13335957046994917,0.29872448979591837,0.18424264052210862,0.545712510456995
20,7,"[28, 46, 59, 73, 79, 90, 91]",0.7363719234275296,0.7462473412336676,0.855072117148283,0.5505580653352363,Accept,0.739608711701735,0.13009780291271503,0.29846938775510207,0.18115617007679835,0.5425889087760939
21,7,"[28, 46, 59, 73, 79, 90, 91]",0.7288362199939229,0.7462473412336676,0.40166914235281437,0.5443987075062179,Reject,0.7406669127599359,0.13796943609913584,0.32193877551020406,0.1931213551819634,0.5536563004610804
22,6,"[46, 59, 73, 79, 90, 91]",0.7405044059556365,0.7462473412336676,-,-,Improved,0.7489110372831304,0.12689637442824778,0.2729591836734694,0.17309241076662807,0.5363434077158031
23,6,"[46, 59, 73, 79, 90, 91]",0.7273473108477667,0.7462473412336676,0.19693557543574622,0.39049239900057386,Reject,0.738255198720315,0.12329967448042153,0.28035714285714286,0.1712092081448472,0.5337506809206046
24,6,"[46, 59, 73, 85, 90, 91]",0.7380431479793377,0.7462473412336676,0.7356274693182219,0.2892275724018719,Accept,0.7468930724744679,0.1265795146278011,0.2755102040816327,0.17342738819943151,0.536366024007315
25,7,"[11, 46, 59, 73, 85, 90, 91]",0.736858097842601,0.7462473412336676,0.8612907123955345,0.16927484412249383,Accept,0.7502399409376153,0.1272142940232521,0.2711734693877551,0.17316065264559954,0.5362812737106282
26,7,"[11, 46, 59, 73, 85, 90, 91]",0.7325736858097842,0.7462473412336676,0.5796598053422721,0.7813089833050746,Reject,0.7457364341085271,0.12270951860168275,0.2663265306122449,0.16798613395860756,0.5316243847395965
27,8,"[1, 11, 46, 59, 73, 85, 90, 91]",0.7426010331206321,0.7462473412336676,-,-,Improved,0.7548172757475082,0.11978739525730726,0.24285714285714288,0.16039494848721325,0.5261677788369876
28,7,"[1, 11, 46, 59, 73, 90, 91]",0.7412032816773018,0.7462473412336676,0.8340049090473408,0.37090946985426776,Accept,0.7508551741109881,0.12030819662540304,0.25076530612244896,0.16257997025917537,0.5275071253477559
29,7,"[1, 11, 46, 73, 74, 90, 91]",0.7366150106350654,0.7462473412336676,0.5477892671759357,0.43680548345363845,Accept,0.7464254952627046,0.12536275838662228,0.2724489795918367,0.17156791339866695,0.5347400828777651
30,6,"[1, 11, 46, 73, 74, 91]",0.7356730477058645,0.7462473412336676,0.8826648517610032,0.7542486340717659,Accept,0.7472129937246217,0.12531986152510877,0.27091836734693875,0.17130471062500405,0.5344922764148559
31,7,"[1, 11, 31, 46, 73, 74, 91]",0.74427225767244,0.7462473412336676,-,-,Improved,0.7563676633444075,0.12959979258849197,0.2663265306122449,0.17431210890725055,0.5375075387638373
32,6,"[1, 11, 31, 73, 74, 91]",0.7413855970829536,0.7462473412336676,0.6768894723723735,0.12236711824398405,Accept,0.7497477543989172,0.12235061574429966,0.2573979591836735,0.1657747571480409,0.5298565446197545
33,7,"[1, 11, 31, 73, 74, 85, 91]",0.746703129747797,0.746703129747797,-,-,Improved,0.7558754768057094,0.12010152998749186,0.2420918367346939,0.16045313153840657,0.526411572732048
34,8,"[1, 11, 26, 31, 73, 74, 85, 91]",0.7512610148890915,0.7512610148890915,-,-,Improved,0.7640949920019687,0.12522205111223808,0.24107142857142855,0.16471093691590508,0.5305043919379
35,7,"[1, 11, 26, 31, 73, 85, 91]",0.7432087511394713,0.7512610148890915,0.32565841410585933,0.24282421581484914,Accept,0.7527254829580411,0.11893917949431312,0.2441326530612245,0.15981723598626632,0.525579876850645
36,7,"[1, 14, 26, 31, 73, 85, 91]",0.7412032816773018,0.7512610148890915,0.7540922525031046,0.21233954375796482,Accept,0.7572782084409992,0.12456823127610842,0.251530612244898,0.16640619333813472,0.5314033287290131
37,8,"[1, 14, 26, 31, 32, 73, 85, 91]",0.754117289577636,0.754117289577636,-,-,Improved,0.7621016365202411,0.12735830857876645,0.25051020408163266,0.16862680742353012,0.5336168070660104
38,7,"[1, 14, 26, 31, 32, 73, 91]",0.7446672743846856,0.754117289577636,0.25744345538172375,0.03240657561632809,Accept,0.754915713055248,0.1318111604258559,0.275765306122449,0.17818182790268286,0.5409195589579969
