Iteration,Feature Count,Feature Set,Metric,Best Metric,Acceptance Probability,Random Number,Outcome
2,2,"[6, 87]",0.7063202673959282,0.7063202673959282,-,-,Improved
3,3,"[6, 51, 87]",0.7412640534791857,0.7412640534791857,-,-,Improved
4,3,"[6, 51, 91]",0.7601033120632027,0.7601033120632027,-,-,Improved
5,4,"[6, 48, 51, 91]",0.7888179884533576,0.7888179884533576,-,-,Improved
6,5,"[6, 41, 48, 51, 91]",0.8002127013065937,0.8002127013065937,-,-,Improved
7,5,"[6, 41, 48, 51, 53]",0.8149498632634458,0.8149498632634458,-,-,Improved
8,6,"[6, 41, 48, 51, 53, 89]",0.8146460042540261,0.8149498632634458,0.9682406608091457,0.3069934867614268,Accept
9,6,"[6, 41, 51, 53, 82, 89]",0.8009723488301428,0.8149498632634458,0.23060994429523154,0.05870677565036064,Accept
10,6,"[6, 41, 51, 53, 82, 89]",0.791856578547554,0.8149498632634458,0.3723588127960379,0.45924641233687113,Reject
11,5,"[6, 41, 51, 53, 82]",0.8072014585232452,0.8149498632634458,-,-,Improved
12,5,"[6, 41, 51, 53, 82]",0.7935278030993619,0.8149498632634458,0.220483264498125,0.6687775151580806,Reject
13,5,"[6, 41, 51, 53, 82]",0.8005165603160134,0.8149498632634458,0.4739593029515705,0.943512491528831,Reject
14,6,"[6, 37, 41, 51, 53, 82]",0.8167730173199635,0.8167730173199635,-,-,Improved
15,7,"[6, 37, 41, 51, 53, 82, 90]",0.8185961713764813,0.8185961713764813,-,-,Improved
16,6,"[6, 41, 51, 53, 82, 90]",0.8081130355515042,0.8185961713764813,0.29918364117149315,0.15653309975032792,Accept
17,7,"[6, 41, 51, 53, 62, 82, 90]",0.8081130355515042,0.8185961713764813,1.0,0.4649747941677118,Accept
18,7,"[6, 26, 41, 51, 53, 62, 82]",0.830294743239137,0.830294743239137,-,-,Improved
19,8,"[6, 26, 41, 51, 53, 62, 82, 85]",0.8327256153144941,0.8327256153144941,-,-,Improved
